review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,label_agreement_level,predicted_emotion
Bohol-Panglao,airport,13 reviewsAndreas Becker,2022-05-28,Quiet new airport opened in Check in was efficient Distance to Alona Beach only a few minutes Therefore very comfortable for people staying at the beach There are only few food stalls available Overall a fast and efficient airport,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Bremen,airport,Eric Decamps,2015-09-06,Nothing special to write it looks more like a train station than an airport but its a small city anyway so thats fair Access from the city center by tram makes it the easiest cheapest and fastest airport to reach Ive seen in my life Fans of space will love the huge International Space Station model in the main hall and aviation fans will love the souvenir shop where you can buy many Airbus collectors items One thing they should put more power sockets,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Brussels Zaventem,airport,8 reviewsNorman Mackenzie,2024-12-09,I have to say I was quite impressed with this place The two terminals are easy to navigate and there is plenty of space Plenty of retail if such is your thing an I enjoyed my Stella as I waited for my next leg One thing I really liked is the ability to get WhatsApp updates for your flight schedule checkin gate departure gate etc I hadnt seen this before Surprised that all the announcements are in English,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Chania,airport,R Cooper,2018-07-06,I am sat in a light and airy air conditioned building drinking Cappicino Freddo The queue for checking in was small but very organised and the whole building is welcoming Arrival was just as good although a slight wait for baggage due to three aircraft coming in close together This airport has come on a lot since last year and I recommend it The indicator boards all seem to be working ok and the WiFi is good What more can you want Dont blame the airport for things they dont control,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Chattanooga Metropolitan,airport,Bill Peterson,2006-05-12,CHA has the misfortune of being too close to Atlanta Over half of Chattanooga flyers drive to Atlanta or Nashville or Birmingham to fly However CHA offers competitive fares and I would guess most flights now are regional jet The airport itself is beautiful with a large copper dome as the facilitys trademark in honor of the citys railroad heritage CHA is a modern stateoftheart airport and is where I choose to fly out of even though I live in the northern Atlanta burbs,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Cochin,airport,Vidya Iyer,2021-11-06,Very disappointed to see that you are busy aping the western culture and forget our own roots As an Indian I am very proud of my heritage and all my traditional food However Cochin airport is a far cry from that You will happily serve cappuccino coffee to please a foreigner while completely omitting to serve a traditional Indian masala tea or a nice bru coffee It is very sad what Cochin airport has come to,2.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Corpus Christi,airport,Simon Channon,2011-03-21,It looks like a white elephant but what an elegant one Corpus Christi appears to handle only connecting flights to Dallas and Houston thats the international bit with just three airlines operating there It is light bright airy and wonderfully free of the normal hustle and bustle of a modern airport Checking in took three minutes passport control and security about the same they have new full body scanner Each airline has its own gate complete with airbridge to connect even to small planes,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Dallas Fort-Worth,airport,52 reviewsMahmud Noormohamed,2024-07-09,Whats not to like about DFW You can park at any terminal and take the SkyLink to whichever terminal youre departing from Departure from Terminal E and arrival at Terminal A Parked across from Terminal E United Airlines gates TSAPre took a little bit longer than usual to clear minutes Both Terminals A E are spacious with plenty of shops and dining options Terminals were clean,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Damascus,airport,J Delmonte,2011-05-01,I first arrived in Damascus in Feb Since then I have been back and forth almost times a year since then I am an Englishman who met and married a Syrian girl in The airport in my view was more relaxed in the old days whereby you could check in and walk back into the loungecafe for tea etc with your friends and family,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Douala,airport,Mark Bickerton,2008-12-28,I flew into Douala on Swiss and departed on Virgin Nigeria Both experiences were quite pleasant I had only hand luggage and was in and out of the airport quite quickly When departing we waited at the gate which was quite calm and cool Yes its a bit manic as you walk out of the airport with people and noise everywhere but lots of places are like that If you know where you are going or have someone to meet you its fine,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Dunedin,airport,Y Ren,2011-11-13,DUD is a small but efficient airport with everything you need Landed from Wellington bags out very quickly The airport is quite far from city centre mins cost nearly dollars by Taxi and dollars by super shuttle Departure is well organised checkin sufficient airline lounge is located upstairs security check right before you board,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Durban,airport,Rich Jenkins,2016-08-22,A generally good experience at Durban airport Arrival is quite simple and they seem to keep the touts out of the waiting area The checkin is well organized and immigration outbound proceeded quickly There are a number of shops and restaurants The food and the shopping are forgettable but not expensive Decent amount of seating at the gates Wifi works fine,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Durgapur,airport,Jayastu Senapati,2020-03-10,Kazi Nazrul Islam airport RDP Durgapur is a new greenfield airport in the the industrial city of Durgapur West Bengal Eastern India It is a growing airport which holds much promise for improving air connectivity to this part of the state and can become a major player in boosting tourism and business in the area The connectivity from the city to the airport has improved but still needs more intervention including development of the surrounding areas,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Florence,airport,40 reviewsS Berten,2025-02-16,A rather small airport serving Firenze I used the airport in the winter season so imagine it during the busy summer season Theres bus boarding only and max small gates It has a abundance of dutyfree shops and food beverages counters Prices are reasonable Staff is friendly and efficiently working,6.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Friedrichshafen,airport,H Oberbeckmann,2013-07-07,The airport is very small with just about million passengers a year The few checkin desks are enough service is fast no queues travel agencys most big car rental companys have a desk and restaurants and visitors terrace with a nice view are available,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Fuzhou,airport,Ethan Lin,2016-07-18,The signs at Fuzhou airport are quite helpful since available in both English and Chinese The border security counter has a rating system where you can rate them based on your experience If you dont speak Chinese it may be slightly difficult to get around Queue was quite long and it took quite long to find your baggage However it was an OK experience The staff was very friendly and friendlier than I had expected,5.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Gothenburg-landvetter,airport,6 reviewsThomas Lemoigne,2017-08-02,Landvetter airport is a rather small one well organized and neat Security checks have seldom long queuing and are generally fast Lots of toilets are available very clean with taps to fillin bottles with water So do not hesitate to pass security with an empty bottle Shopping options are limited as the airport is small but the choice is more than correct This airport seems well managed,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Guayaquil,airport,Joseph Travis,2011-08-07,Guayaquils airport has most of the services that we have here in Australia they even offer jetways into planes There are restaurants ATMs machines banks coffee shops and entertainment it passed our expectations without doubt,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Haikou,airport,1 reviewsQiteng Lu,2018-12-25,The international terminal of Haikou Airport is a very spacious terminal I have ever seen The terminal is small and dedicated The staff of VIP room help me to carry the language when I arrived and welcome me before I check in and keep me company all the way to the lounge There is a beautiful tropical garden in the terminal The staff in the airport is professional and dedicated I want to thank them for treating me so well,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Hangzhou,airport,Joe Bailey,2008-11-06,Pretty basic as airports go Way out of town it is simply ridiculous and taxis are well keep your belt on and wear a helmet if you have one The airport sort of works but this is a typical domestic Chinese airport not great not entirely hideous but you know what If you want to fly to Hangzhou its this or nothing I can tell you it is heaven compared to the central rail station,2.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
Hatay,airport,M Veitch,2011-04-16,Hatay HTY I flew into Hatay last year for my daughters wedding celebration airport was small but adequate and staff were helpful,5.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Hong Kong,airport,2 reviewsBarnaby Emmerson,2024-11-02,Very clean and big airport Nice facilities Good open space Lots of shops and restaurants and fast food services including MDS and KFC All of it was pretty much airside The queue in Security wasnt that bad Nice airport and a lot of air conditioning,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Iloilo,airport,Nancy Macendo,2022-07-23,Waiting area is too far from the entrance a lot of mosquitos in waiting area as its open crowded too My flight at am and I arrived long hours before my flight in which they decided to let me stay in waiting area overnight and mosquitos enjoying to eat you alive Please do something,1.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Iloilo,airport,E Carew,2015-04-23,I arrived at night so it was difficult to be as observant as during the day but baggage came off the conveyor belt within minutes and I obtained a modern car with a very pleasant driver for the transfer to my city hotel the transfer costing P which was reasonable Overall an airport that delivered for me on this trip,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Islamabad,airport,A Talat,2019-07-17,Massive improvement in airport and staff Very clean public facilities are well maintained Staff are a bit friendlier now and fewer queues on departure and arrival securityimmigration clearance due to having extra staff on counters Just need a few more shops in the terminal,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Jakarta,airport,Angela Avida,2020-02-29,Most of the airport was hot Only felt moderately cool at the quiet area which wasnt quiet at all It was right next to noisy escalators and on top of an area where staff I assume they were staff would congregate and loudly converse The rest of the time I thought staff were loudly and the airport was nice enough Lots of restaurants and little shops although most closed at night I arrived and was in transit for hours Outlets everywhere and potable water available,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
John Wayne,airport,T Tracy,2019-05-22,John Wayne airport is a nice little smallhumble airport good for traveling with kids It is a small airport with only gates everything in the airport is close by If you live by John Wayne I definitely would recommend,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Karlsruhe,airport,S Townsley,2011-06-19,Since my last review Karlsruhe airport has improved beyond expectations Regular flights to more destinations and vastly improved bus services to Baden and Rastatt Eating and shopping facilities need to be improved especially on Sundays when the duty free shop and gate one bar are generally closed,4.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Kent,airport,O Beardsmore,2014-03-06,The airport is very small however the staff provided a very good service We went through the airport very quickly,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Khartoum,airport,Malachy Roscoe,2004-05-04,The obligatory show of your boarding pass on boarding the plane Dont expect duty free air conditioned waiting areas business lounges or facilities smiles hello thank you goodbye catering information desk assistance even from airline representatives or toilet facilities and you wont be left disappointed But once outside the Worlds Worst Airport you will meet the most pleasant courteous and honest people that I have ever personally encountered Welcome to the real Sudan,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Kigali,airport,Barrie Enslin,2014-02-17,One of the better airports in Africa I made use of the pay lounge at USD where they served snacks and drinks I had a medical situation was referred to the medical station and received good medical attention,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kilimanjaro,airport,Adam Simmons,2010-06-23,Compared to so many airports a delightful experience I was first off my arriving flight and so did not have to queue for a visa Only one person was doling them out so I guess that stragglers had quite a wait On departure plenty of shops for such a small airport with plenty of seating both indoors and out no problems in either direction with passport or customs,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
King Mswati III Intl,airport,3 reviewsTeayaung Kim,2016-02-09,Recently opened airport because the former airport in Matshapa is now being used as something else The new location is quite inconvenient because it takes more than an hour from Mbabane city centre and I would strongly recommend that you use the road from Johannesburg to Mbabane because it takes only four hours from SA Cost wise it is also efficient to use the road,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kinshasa,airport,S Ross,2016-10-13,I read horror stories and read terrible reviews about Kinshasa FIH Ndjilli Airport I was very nervous about going through there What a lovely surprise awaited me A brand new terminal clean bright air conditioned well a big plus in Africa all employees well dressed and polite Procedures took time and were very detailed but nothing out of the ordinary You dont really need to pay a VIP service to go through you will be OK on your own Make sure all your travel documents and stay details ready for inspection,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Koh Samui,airport,Andrew Mortimer,2022-12-12,Brilliant little airport with thoughtful touches such as free snacks and water Only downside was the open air departure lounges so no air conditioning ie humidity very high,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Koh Samui,airport,2 reviewsA Davids,2017-04-15,From the first step of the airplane at Koh Samui Airport I felt that I was in a tropical paradise It was not a standard airport bus but a train of small wagons painted in bright colours Airport is a complex of many small buildings in Thai style connected by open galleries A lot of open space just covered with roof from rain Many trees and flowers Even an aquarium in WC There are minibuses for transfer to Samui hotels and of course you can take an individual taxi with fixed price,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Kota Kinabalu,airport,2 reviewsAzizul Ismail,2015-11-30,A modern medium size airport with ample space airside got plenty of outlets at the departure area and efficient checkin counter The airport is near to the city centre and it is easy to reach by taxi and private transportation Once through the security check you will be greeted by an airy airside with an ample seating area near to the gate and due to the design of the terminal the distance of the gate is really short and gave ample time for the passenger to catch their flight,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Krabi,airport,Mohammed Gother,2024-02-25,Small airport arrival was smooth half hour queue at immigration but bags waiting for uson departure ten minutes from check in to be sat at the gate on comfortable seats and soft carpetairport is very clean and did not come across any rude staffin fact they were very polite,10.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
Lamu,airport,Jonathan Beard,2010-04-29,The current airport consists of two buildings The first houses the security scanners and the second an open air thatched building the manual check in Very pleasant for small groups A new terminal is being constructed and should be ready in a few years Like most things in Lamu this is a simple functional relaxed airport From the terminal you walk meters to the fast boats for the minute ride to Lamu Town or to Shela Beach,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Langkawi,airport,Y Ren,2013-08-11,Small airport only serves a couple of airlines Landing process was pretty fast seem the airport does not have air bridges Bags delivered pretty fast Check in at airport was fine many dining options Security check was fast Not sure about transportation options because we were picked up and dropped off by our hotel It is a very sufficient regional airport,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Leon Guanajuato,airport,Sandy Huff,2007-02-05,Ive flown in and out of BJX a half dozen times and have no problems Take along a book or knitting as there are only a couple of souvenir shops but they are colorful and reasonable My destination has been San Miguel de Allende the art colony thats popular with US citizens,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Leon Guanajuato,airport,Edgar Solis,2006-05-31,This is a small and nice airport Ive landed and departed from this airport before and it has changed a lot I dont know why it is called Leon Airport if it is closer to Silao Gto I landed there a few months ago my destination was Romita Gto my mothers hometown This airport is very convenient for us since it is only about mins away from Romita Also this airport is not very far from Guanajuato city I recommend people to visit Guanajuato this is perhaps the most European style city in Mexico,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Limoges,airport,1 reviewsFlorian Chissadon,2016-12-28,I travel from Limoges to and from Paris The terminal is a little bit small but it is very clean There is a not a very long queue time and the staff were very proactive At this airport there is one bar and one restaurant but there are no lounges or dutyfree The boarding area is very small and there is not much seating This is a little but very efficient airport,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Lviv,airport,Ivan Dzhur,2015-01-19,Once again I used Lviv Airport four times in August Very satisfied with facilities and staff who work there Definitely beats many USA airport who have a lot to do in order to improve,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Malta,airport,G Giocondi,2024-05-18,I would like to thank Alessandra at the customer services desk for the phenomenal service and friendliness she has provided me at the airport She is an absolute gem,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Medan,airport,Anthony C Lawman,2012-08-07,I have used Polonia six times in the last four year both international and domestic arrival and departure No problems with taxis overcharging just as for any airport do your research Be affirmative informed and polite,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Medellin,airport,1 reviewsJuan Zapata,2019-03-27,The airport services were very attentive to the plane we arrived at local time when we left the plane the luggage gang was already in operation and the suitcases were in very good condition,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Miami,airport,Stefania Miniucchi,2024-11-11,Arriving at Miami International Airport to return to Rome we had the invaluable assistance at the automatic checkin before the Air Canada desk so I dont think an Air Canada employee helped us so much to understand how we had to make our boarding passes and what to do with our luggage Thanks to him the passage through this airport seemed delightful,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Monastir,airport,G Moran,2010-03-10,We travelled through Monastir Airport and found it to be pretty good for a small airport The queues coming in were fairly smooth and on the way out of the country everything went smoothly as well Facilities are perhaps a little limited but its only a small airport comparatively and at least it was clean,4.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Monastir,airport,Amanda Taylor,2007-08-06,I agree most strongly that passport control is a nightmare I could not believe the length of time it takes to get passengers through and especially when the airport is so hot and lacked air conditioning I have visited this Airport twice now and hope that in future they can implement a more effective way of getting through control The rest of the airport was fine and even homeward bound found it was comfortably set out with refreshments and enjoyed a last encounter of some traditional Tunisian retail shops,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Monastir,airport,Iain Murray,2005-08-29,Impressed by this airport apart from the queue at Passport control It took ages once through to Departures everything was fine Duty Free was reasonable and plenty of places to get a drink or something to eat,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Montpellier,airport,40 reviewsH Rowe,2020-07-30,A small yet very convenient airport in the south of France From the plane to the exit takes no more than min Signaling shopping etc is all fine given the size and role of the airport Its not the most modern airport but everything is well maintained Theres a convenient bus service to the city center,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Murcia San Javier,airport,3 reviewsChristian Dyer,2015-07-04,A pleasant small airport very useful for southern Spain A minus point would be being held in the sun before boarding a plane this is quite unpleasant Announcements are very clear Very good airport,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Muscat Seeb,airport,30 reviewsZiauddin Ahmed,2020-02-27,I visited Oman first time in and used this airport It was then very a small and unorganized airport Now the airport has become huge with many other facilities There is a museum with Omani architectures There are many handicrafts shops with very high prices of commodities There are KFC and McDonalds that offer food at an affordable price There are Muslim prayer room and toilets as well,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Muscat Seeb,airport,A Trang,2020-01-19,I visited Oman first time in and used this airport It was then very a small and unorganized airport Now the airport has become huge with many other facilities There is a museum with Omani architectures There are many handicrafts shops with very high prices of commodities There are KFC and McDonalds that offer food at an affordable price There are Muslim prayer room and toilets as well,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Nanning Wuxu,airport,P Hu,2016-04-28,The airport is very new and modern I have flown through this airport multiple times but this is the first time at the new terminal It is a lot larger than the original terminal There was finally free WiFi and it was pretty fast considering the internet in China It was mainly based off of Shanghai Pudong the airport I was actually flying to and had the identical announcement system that PVG terminal had Although there were a few foreigners including me it felt very open and very welcoming,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Naples,airport,O Assam,2024-07-12,Lives up to its name no signs chaos rude airport staff overflowing rubbish bins of flight delayed and no aircon but great food Unless one wants to fly to Rome and drive not many options to visit Campania and it is worth visiting so just have to roll with it and accept it,2.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Ningbo Lishe,airport,Josef Sonntag,2015-07-09,Modern airport medium in Chinese terms Incoming by bus from runway efficient and fast very simple to get your bearings Outgoing fast very clear information very efficient checkin good facilities About min from city center,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Okinawa Naha,airport,J Brand,2013-09-03,I live here and fly regularly New terminals are open airy and plenty of seating Limited but appropriate shopping Nice caferestaurant selection for a small airport Security swift and courteous,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Ostend–Bruges,airport,6 reviewsW Peeters,2017-09-27,A small airport where you can go from the luggage checkin to the gate within minutes There were enough places to sit down and the WiFi is good If you want to eat something before the security there is a restaurant with enough food pricequality top After the security you can also drink or eat something Boarding goes quickly,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
