review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,under_token_limit
Jakarta,airport,Angela Avida,2020-02-29,Most of the airport was hot Only felt moderately cool at the quiet area which wasnt quiet at all It was right next to noisy escalators and on top of an area where staff I assume they were staff would congregate and loudly converse The rest of the time I thought staff were loudly and the airport was nice enough Lots of restaurants and little shops although most closed at night I arrived and was in transit for hours Outlets everywhere and potable water available,6.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Air China,airline,Ofer Henkin,2024-10-06,Outstanding Customer Service from Air China Jakarta Airport Ground Staff On October nd I arrived from Sydney to Jakarta Qantas planning to board within hours on Air China CA to Beijing then to Madrid and Sao Paulo Due to Qantas airplane problems the Qantas flight arrived hours late leaving me with only hours to board Air China Unfortunately Qantas refused to give any assistance to facilitate the very short time for check in Talking to the Indonesia immigration agent he called Air China ground staff who sent an agent with a mission to help meI did not have a Visa on Arrival no boarding card and a checked luggage at Qantas The agent did everything to make me board the Air China flight talked many times to the immigration officers called Air China office to send a letter to the immigration and ran times to the Air China counter to try to solve all bureaucratic issues The agent and other Air China agents issued all documentation needed and ran with me and my luggage through Jakarta terminal be able to catch the flight Boarding the Air China flight CA in such a short time was a small miracle that was possible because of the competence and excellent service of Jakartas Air China ground staff,9.0,Neutral,Positive,Positive,POSITIVE,Positive,True
Air KBZ,airline,5 reviewsNeil Reckers,2019-04-12,I took the flight K from Mandalay to Heho to get to Inle Lake as it is the quickest way to get there This was my first time flying with Air KBZ and it was a pleasant flight Checkin and boarding was very efficient The flight left Mandalay about minutes before the scheduled time and arrived about minutes earlier The cabin was very clean and seats were comfortable Cabin crew were friendly I will not hesitate to fly again with Air KBZ,9.0,Positive,Positive,Positive,Positive,Positive,True
Air Costa,airline,Thomas Sehested,2015-12-30,Bangalore to Hyderabad My first time with Air Costa they been operating as a regional airline India for years A great experience the legroom was really good seats comfortable and the aircraft very new Its low cost so besides a glass of water it costs But given the flight time of little over an hour thats no problem The range of food and beverages looked good though The flight was mins late the only downside,8.0,Positive,Positive,Positive,Positive,Positive,True
Tashkent,airport,James Tibbert,2014-11-06,Departure was fairly easy and quick and there was an English guide for completing the customs form You can only spend local money in the cafe or burger place but duty free only accepts dollars and euros Escalator up to departures and not big inside but okay and clean Arrival is very slow so be patient There is no queuing at passport control so I just took a seat on the side and waited until only a few people left and was much easier At customs you need to complete two forms and I couldnt see an English guide whereas there was one in departures so ask a local or fill it in best as you can and customs officers will help with rest There is a separate queue for tourists and they speak a little English make sure you keep the second copy as you will need it when you come to leave the country Taxi ride into centre around Som ie but youll need to haggle a lot Overall its a fairly small airport and arrival does take a long time but it seems they are trying to improve things all the time,5.0,Positive,Positive,Positive,Positive,Positive,True
Xiamen Airlines,airline,Keruby Ge,2024-03-29,The experience is a unique one and I also have a trouble on how to rate this airline We start off from Singapores Changi Airport and the check in was quite smooth note that their carryon is only kg we get our boarding pass finish security and customs we finally managed to board the plane the cabin crew was very sweet and nice we are not delayed however the landing was super bad,7.0,Positive,Positive,Negative,POSITIVE,Positive,True
Bradley,airport,Maria Stolarz,2019-02-20,Small airport very friendly staff not too many food choices but the best for long layovers if you need a place for sleep plenty of big chairscouches comfortable and with outlets for charging electronics,8.0,Positive,Positive,Positive,Positive,Positive,True
Palau International,airport,K Pellberg,2024-11-28,Very small airport but there still are jet bridges which was surprising Everyone I met was so friendly and welcoming The bags were out very quickly Just remember to arrange the transport before arrival,9.0,Positive,Positive,Positive,Positive,Positive,True
Nanning Wuxu,airport,P Hu,2016-04-28,The airport is very new and modern I have flown through this airport multiple times but this is the first time at the new terminal It is a lot larger than the original terminal There was finally free WiFi and it was pretty fast considering the internet in China It was mainly based off of Shanghai Pudong the airport I was actually flying to and had the identical announcement system that PVG terminal had Although there were a few foreigners including me it felt very open and very welcoming,8.0,Positive,Positive,Neutral,POSITIVE,Positive,True
LAN Peru,airline,Clive Drake,2009-09-28,LimaCusco and three other internal flights within Peru All flights on time and quality of aircraft pilots as in landing and take offs was exceptional Aircraft were almost new As all were clean including the toilets which cannot always be taken for granted on an aircraft that is subjected to multiple take offs and landings during the day FAs very professional A very good experience,5.0,Positive,Positive,Positive,Positive,Positive,True
Sriwijaya Air,airline,47 reviewsS Garlen,2019-08-23,Sorong to Jayapura Flight left almost on time Aircraft clean and comfortable with friendly crew and many empty seats at the back Inflight meal only a cup of water and a little breadroll,7.0,Positive,Positive,Positive,Positive,Positive,True
Biman Bangladesh Airlines,airline,18 reviewsZiauddin Ahmed,2023-04-19,Dhaka to Singapore Good food good seating and comparatively better ground services at Dhaka Staff on board are just okay though My travel ticket price was high though Worst inflight entertainment service,5.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Launceston,airport,G Greenwood,2015-02-18,Travelling in and out of Launceston Airport proved a pleasant experience Since the terminal is still fairly new everything seemed to be in very good working order Facilities were very good having large coffee shops and well stocked souvenirgift shop selling real Tasmanian and Launceston branded items Check in and customs were hassle free No time lost waiting for luggage or taxis,8.0,Positive,Positive,Neutral,POSITIVE,Positive,True
FlySafair,airline,M Halbene,2024-05-20,On December st I had booked a flight for my dad and his brothers to Cape Town I joined them we were helped by Thabile Mchunu at Counter and she was absolutely amazing My elders had never taken a flight before and he kindness and friendliness was amazing and helpful to calm the nerves,8.0,Positive,Positive,Positive,Positive,Positive,True
Air France,airline,N Haynes,2025-03-28,My son was travelling on Kids Solo as an unaccompanied Minor with a h stop over in Paris The departure from Dublin was delayed by hour The agents Mustafa and Laura at the check in counter went out of their way to arrange a new flight with KLM arriving half an hour earlier than the original flight They were extremely helpful and understanding We were very impressed with their professional approach and excellent customer service,10.0,Positive,Positive,Positive,Positive,Positive,True
American Airlines,airline,67 reviewsM Galena,2025-03-21,My recent flight from Washington DC DCA to Philadelphia PHL with American Eagle operated by PSA Airlines was smooth and efficient We experienced a minor maintenance delay but on a minute flight it hardly made a difference The crew was pleasant and professional ensuring a comfortable experience The aircraft a CRJ is the largest in PSAs fleet offering a bit more space compared to their other planes Given the short duration of the flight theres really nothing to complain about it was a quick easy and wellhandled trip Great job PSA,10.0,Positive,Positive,Positive,Positive,Positive,True
AirAsia India,airline,Sharayu Parab,2023-05-03,I will like to thank entire staff of Air Asia We were on family vacation with my year old child and got amazing cooperation Without any hassle we could book seats and the entire journey was enjoyable Will like to be thankful to the pilots as the landing on all the flights was smooth I paid my gratitude to the staff personally too,10.0,Positive,Positive,Positive,Positive,Positive,True
Virgin Australia,airline,178 reviewsJohn Curtain,2025-01-30,I enjoyed the flight Check in was easy and the flight departed on time The staff were friendly and efficient The seat was comfortable too Only tea coffee and water is available free of charge which is no big deal given its such a short flight,8.0,Positive,Positive,Positive,Positive,Positive,True
Nuremburg,airport,Max Singer,2016-10-27,Its always very relaxing to fly from to Nuremberg Its a really small airport but everything works so easy and uncomplicated You can get there easily by train a subway station is directly in front of the entrance or by car you can park just min walk away checkin is very fast and boarding too There is no shopping and not that many food options but when you just want to get relaxed and easy from A to B its perfect And the staff are nice too even the security staff is always goodhumored More airlines should use this airport,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
QantasLink,airline,178 reviewsJohn Curtain,2025-03-27,A very pleasant flight There was an issue with the bag drop but I had some friendly assistance The plane left on time and the flight attendants were helpful and friendly The new plane was clean and comfortable A small snack was served which was fine on such a short flight I also appreciated the free beer,8.0,Positive,Positive,Positive,Positive,Positive,True
Lusaka,airport,Keith Mwanalushi,2005-05-10,In the last years Lusaka International Airport has been going through a re development programme which has seen an upgrade in its infrastructure The old style check in counters have been replaced and updated The airport has received new ground handling equipment escalators and lifts Having been invited on a press tour of the facility i got to see first hand what is happening The airport is very clean cleaner than some more developed airports I have seen in my travels,0.0,Positive,Positive,Positive,Positive,Positive,True
Virgin Atlantic,airline,Alan Young,2025-04-06,First time flying with Virgin Atlantic and very impressed Full flight but smooth boarding good legroom and good IFE Crew friendly and professional Flight slightly delayed due to ATC so arrived half hour late Only downside was the meal served a pasta dish that was a bit bland Would fly Virgin again,9.0,Positive,Positive,Positive,Positive,Positive,True
Japan Airlines,airline,S Anthony,2024-12-19,I was browsing airfares for a late November trip and I stumbled across a business class fare on JAL for much less than it usually sells for Approx USD for TorontoChicagoTokyoBangkok return YYZ ORD was on AA Considering I usually pay about for economy with my extra golf bag this seemed like a no brainer and I pulled the trigger on that fare the very next day That decision was the correct one Ive just returned from the trip which is an annual one and Ive never crossed half the globe and had it feel so easy A fully lie flat bed all the way except TorontoChicago and a completely private one at that The food was great the service was great the lounges were great check in priority and fast track immigration in TokyoBangkok It was as easy as travel can be Ive flown JAL in economy before and even then I thought it was a superior experience than our local option Air Canada which continues to disappoint every time I recall even in economy the seats were wider fewer total seats across instead of and the meals were better Well business exceeded expectations even after YouTube reviews had set them sky high I have no reservations about wholeheartedly recommending them If I were to nitpick and I was fully expecting it as everyone seems to mention it is that the cabin is kept too warm So I packed shorted and a tshirt for sleeping in It was manageable,9.0,Positive,Positive,Positive,Positive,Positive,True
China United Airlines,airline,B McLaughlin,2013-08-25,Beijing Nanyuan to Hohhot China United is the only airline that uses Beijing Nanyuan a former military airport in the South of Beijing The airport is easy to get to and flights in and out of Nanyuan do not seem to be subject to delays as serious as those at Beijing Capital Theres also very little taxiing Checkin was quick easy but the checkin area is noisy and dilapidated Toilets at the airport werent great The flight was on a newish and the plane was clean Service was friendly and the bacon wrap for breakfast was actually very nice Takeoff and arrival were both on schedule Id use China United again just to avoid the delays at Beijing Capital,8.0,Positive,Positive,Positive,Positive,Positive,True
Vietnam Airlines,airline,16 reviewsK Huang,2025-04-03,Was on flight with Vietnam Airlines from Hanoi to OsakaKansai on its business class Nothing to complain as ground staff cabin crew were professional and offered the best that they could Seat was comfortable I chose the Japanese breakfast and found that it was somehow delicious Inflight entertainment surprisingly was excellent with new movies and music album No WiFI onboard even in business class which may be something the airline should consider to improve,8.0,Positive,Positive,Positive,Positive,Positive,True
Alicante,airport,Kathleen Robinson,2023-11-21,My husband and myself were at Alicante airport returning from a short break I am disabled following a subarachnoid haemorrhage years ago I really needed to feedback on my support from Carmen who reported she has worked many years in the assistance area she was so kind and helpful and made my journey much more settled I cannot thank her enough Regards Kath Robinson,10.0,Positive,Positive,Positive,Positive,Positive,True
Binter Canarias,airline,4 reviewsDaniel Souwer,2016-05-14,Lanzarote to Lisbon via Gran Canaria with Binter Canarias Great airline First flight with an ATR later a CRJ to Lisbon Checkin easy and smooth Connection LPA easy Both flights great staff Nice smile Service on the first flight water and a cookie second flight a chooice of a snackbox sweet tapas mix We had the tapas served with canarian red wine water and later a coffee Second glass of wine served Great FA nice plane as seated and uneventfull flight Would fly them anytime,10.0,Positive,Positive,Positive,Positive,Positive,True
Ekaterinburg Koltsovo,airport,Peter Thackray,2013-06-09,SVOSVXHEL Arrived mid morning from Moscow on domestic flight There seem to be a good number of piers to allow access to the terminal building Airport in the middle of being fully upgraded with building work everywhere estimated to be finished some time in Arrival was via various corridors that would not normally see passengers but the luggage was on the belt when we got there and then out into Arrivals Airport not that busy so things seemed to run OK Early morning Checkin for departure required basic suitcase scanning before Checkin which seemed a little slow Security Scanning perfunctory no need to get laptops out and shoes off with minimal queuing Facilities in Departure Lounge limited but sufficient Free WiFi available which was OK Boarding directly via pier smooth,6.0,Positive,Positive,Positive,Positive,Positive,True
Phu Quoc,airport,4 reviewsPaul Heslop,2024-07-31,Smooth arrival domestic in the new airport It is the only airport that I have arrived at that there is actually free onwards buses to most of the tourist resorts north of the airport about every five minutes I did not know about this free service but if passengers have lots of luggage they need to be mindful that it could be a long haul from the bus stop in their resort to their actual hotel I took a taxi from one of the three or four tax agencies outside arrivals they were actually half the price of taxihailing apps There were some nice airy restaurants in the arrival area and presumably these are available to departing passengers Five stars from me,9.0,Positive,Positive,Positive,Positive,Positive,True
Rossiya Airlines,airline,1 reviewsV Keicher,2018-12-16,Denpasar to Moscow Hard product ok as the aircraft has been flying for Emirates before with angled seats providing acceptable comfort Huge screen but only showing airshow IFE works on your personal device through a dedicated app Selection of movies rather limited Streaming with some issues during the flight Catering on level of premium economy Some choices but very basic food Wine available one white and one red basic quality No snacks between the two meals on a hour flight nuts only Crew trying to do their best very friendly Overall no consistent business class product huge room for improvement Value for money below average,6.0,Positive,Positive,Positive,Positive,Positive,True
Copa Airlines,airline,Bill Green,2024-07-27,On the plane the staff hardly gave us any water and the water tasted like the plastic cup it was in I am not surprised if anyone got dehydrated The legroom was good and the seat was okay Overall it was okay I wouldnt recommend it,4.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Dresden,airport,24 reviewsA Hasseem,2018-05-14,A little and modest airport in the capital of Saxony Apparently the politicians and the government members of the state of Saxony gave it the right to exist to be able to travel by plane directly to and from Dresden and avoiding using the bigger and better airport in Leipzig one hundert of miles away I wonder if this airport is profitable at all Any how it is very clean and clear and it is the best way to get to Dresden from outside east part of Germany Airport staff seems to be much more bored then engaged,5.0,Positive,Positive,Positive,Positive,Positive,True
Lynx Air,airline,K Lane,2024-02-12,We loved Lynx It was Super affordable planes were on time and no delays We dont eat on planes anyway so who cares Will definitely be flying again,10.0,Positive,Positive,Negative,POSITIVE,Positive,True
Singapore Changi,airport,8 reviewsM Tennant,2024-11-15,Check in smoothless immigration great lounge perfect When you arrive at the gate here comes the security check All Xray staff do NOT take care of your stuff You fold your jacket you find it in a wreck when you pick it up Put your expensive bag in a tray they take it out and put it directly on the conveyor belt Really this is not acceptable for Singapore I have a stars not for all airport staff but security staff They need to care more,9.0,Positive,Positive,Positive,Positive,Positive,True
Monastir,airport,P Haworth,2011-06-14,I have used Monastir Airport now for years and whilst the queues at immigration can be slow at times I think the other facilities and friendly staff more than make up for this Transport links are excellent if you are an independent traveller,5.0,Positive,Positive,Positive,Positive,Positive,True
Centrair Nagoya,airport,1 reviewsJeremy Chan,2015-07-08,I have never expected that a smallscale airport can be able to provide outstanding and extensive services to travellers The airport was very clean and tidy and everything in the terminal was well organised Incredibly large number of facilities including an observation public bath A wide choice of restaurants was available and the prices were reasonable The sky deck was very large and great for phototaking Airport signs were very clear and staff were always eager to help travellers Convenient access to the city centre The airport gave us a great impression upon our first visit to Nagoya,10.0,Positive,Positive,Positive,Positive,Positive,True
Wenzhou Longwan,airport,Nicholas Chen,2016-11-07,This is a wonderful airport Staff providing good services to pick up luggage when arriving It has a good transportation centre with taxis bus routes to downtown and shuttle buses to other cities near Wenzhou Many shops in the airport selling products with affordable prices Wifi is fast This airport is expanding to have another much larger terminal by,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Des Moines,airport,4 reviewsN Wilson,2016-03-17,The airport is well laid out the gates are simply marked and the staff are extremely helpful There is an information desk to the left of the entrance which will direct you where you need to go Considering this was my first flight and after having a head injury they allowed my parents to go through security with me to guide me through the process Security was slower than I have come to realize is usual and very confusing however once on the other side there were many shopping options and also a great deal of eating options There was suitable seating and the boards with times of departures were readily available The bathrooms were a little messy however,8.0,Positive,Positive,Positive,Positive,Positive,True
Seoul Incheon,airport,Y Kim,2024-12-02,Incheon Airport generally has a nice and clean layout making navigation straightforward However my experience today at Security Lane was quite disappointing Out of the three passport scanner machines only one was operational causing severe delays I joined the queue at PM and only cleared security at PM taking over hour and minutes to get through For an airport of this reputation such inefficiency was unexpected Thankfully I had arrived early for my PM flight or I might have missed it While the rest of the airport experience is great the management should urgently address such issues,3.0,Positive,Positive,Positive,Positive,Positive,True
FlyArystan,airline,N Balinbayev,2019-05-30,Astana to Almaty Staff was polite and the plane seemed new I hope it will continue to work like this After long stagnation in Kazakhstan aviation industry this was like fresh air even not considering the price of the flight Only inconvenience was lack of credit card payment support only cash support,9.0,Neutral,Positive,Neutral,POSITIVE,Positive,True
Astana,airport,M Foote,2011-09-05,This airport has excellent free wifi but lacks any decent shops or restaurants I stayed in the airport for hrs whilst waiting for a connecting flight The checkin agent wouldnt check my bag through so I was stuck at the airport The best area for wifi is on the nd floor There are powerpoints behind the bench seats for charging your laptop Airside there are small shops and a cafebar at the very end of the departure lounge where the wifi doesnt work As a capital city airport it is lacking in many of the things one would expect Without the wifi it would be very hard to pass the time waiting for connecting flights,4.0,Positive,Positive,Positive,Positive,Positive,True
Innsbruck,airport,16 reviewsElaine Loh,2022-01-03,Airport is small but functional Clean toilets and security is taken seriously We could not check in online but went through COVID verification and were questioned if we were staying in another EU country for more than days The airport police also gave warnings to people who did not wear their masks Repeat offenders were told they will be asked to leave the airport This is impressive first time seeing mask regulations treated seriously in EU For some strange reason though we were kept on the bus for quite a while prior embarking the plane,7.0,Positive,Neutral,Positive,POSITIVE,Positive,True
Vietnam Airlines,airline,K Huang,2024-12-16,Attractive food comfortable seating In particular the flight attendants are professional and dedicated to helping passengers Head flight attendant Ms Hang and Ms Chi are very enthusiastic and very considerate in assisting passengers The flight crew is friendly and professional xut n hp dn ch ngi tin nghi c bit t tip vin chuyn nghip v rt tn tnh n cn h tr gip hnh khch trong sut chuyn bay tip vin trng c Hng c Chi nhit tnh lm v rt n cn h tr cc hnh khch t bay thn thin v chuyn nghip,9.0,Positive,Positive,Positive,Positive,Positive,True
Citilink,airline,K Matthias,2024-11-11,I am pleased to commend Mdm Novia for her exceptional professionalism during our recent flight cancellation on November After our Citilink flight from Pontianak to Jakarta was canceled Novia managed all the necessary arrangements for our next flight with outstanding efficiency and kindness Her assistance made a challenging situation much easier and we are very grateful for her dedication and hospitality She truly goes above and beyond in her service,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Hamad  Doha,airport,Mohamed Abbas,2025-02-19,I came from Bangkok to Doha and transited for hrs and then to my homeland Cairo I was frustrated to stay that long transit time but once i stayed there I enjoyed it so much The internet coverage and speed is awesome Perfect atmosphere perfect cleaning perfect toilets Unforgettable experience Thanks to each and everyone who participated at this huge well maintained entity,10.0,Positive,Positive,Positive,Positive,Positive,True
Ellinair,airline,44 reviewsS Karykas,2018-10-09,Thessaloniki to Athens Very nice and comfortable journey Flight was almost full Used the website to checkin and a mobile phone boarding pass was sent making it really easy Crew was friendly and helpful Candy small snack and drink offered in this domestic Greek flight Luggage was included in the price and although I did not have any it made the cabin have much more space for peoples handluggage Timely and orderly departure and arrival Very good experience I recommend them on this route,10.0,Positive,Positive,Positive,Positive,Positive,True
Santa Barbara Airlines,airline,Eduardo Montero,2015-05-11,I tried to avoid Santa Barbara at all costs for trip between Caracas and Miami roundtrip They had been notorious for very long and cruel delays Had no more choice and to be fair was pleasantly surprised that my experience was quite good Flew in an old but nicely refurbished B that I think has helped them regain some kind of decent scheduling For both roundtrip segments the flight was very much on time and they now offer economy plus as an option with lots of leg room Meals were ok and the staff very cordial I have to say it is much improved and would fly them again However it may still be a gamble in terms of on time departures,7.0,Positive,Positive,Negative,POSITIVE,Positive,True
Dundee,airport,Colin Ip,2007-07-28,Flew out of Dundee Airport for the first time even though it is our home town when we are back for the summer holidays Friendly checkin staff and understanding security staff Yes it is a small airport and lacks the faciilities of say Edinburgh and Glasgow But after the Glasgow incident it was refreshing to drive to an airport and not suffer the issues encountered at other BAA airports The takeoff to London City provides a fantastic view of the Tay Will use it more often,4.0,Positive,Positive,Positive,Positive,Positive,True
Air Algerie,airline,Messaoud Saidani,2018-07-19,London to Algiers There was a slight delay but the service onboard was excellent Clean very nice food and friendly personnel Very pleased with the whole experience Would fly Air Algerie again,9.0,Positive,Positive,Positive,Positive,Positive,True
Manado,airport,L Thomas,2017-09-10,For a small town scale Manado airport is pretty good Has several places for check in Several lounges equipped with internet access and good food The lounge area is quite spacious and has good service from Avsec This airport is set as the transit airport for Raja Ampat another greatest diving spot in indonesia located in Papua and also has an international direct flight like Singapore etc,10.0,Positive,Positive,Positive,Positive,Positive,True
Munich,airport,Stephen Cooper,2024-09-13,We found Munich Airport to be an excellent airport very well laid out with two level gate system that seems to work very efficiently Very easy to follow signage good seating Check in and baggage drop off was well managed by friendly staff at Singapore Airlines service desks Gates and boarding in designated assigned groups seemed to work quite well Well presented airport,8.0,Positive,Positive,Positive,Positive,Positive,True
Ryanair,airline,E Karouth,2025-01-30,Flew from Prague to Rome Ciampino return with both flights spot on time noting that both legs were fully booked without any empty seats onboard No checked in baggage so headed straight to the gate The Ryanair mobile App is helpful apart from the nagging up selling but its understandable Its great boarding passes can be saved viewed in Google Wallet Boarding was managed well in PRG and CIA even with the full of passengers with Prague being strict on carry on luggage sizes as some fellow travellers were being a bit cheeky The cabin crew on my return flight were especially superb and professional with a smile Both legs were on a Boeing s I suspect there are no Max stationed in Prague One had an updated interior with slim seats and notably much more comfortable esp Legroom than the other although both were in top condition including cleanliness This product is ideal hassle free for quick flights around Europe,9.0,Positive,Positive,Positive,Positive,Positive,True
Aguascalientes,airport,D Giles,2020-12-27,This is a small international airport The personnel are polite helpful and efficient Nearly everyone speaks understandable English and some speak other languages as well Whenever possible I use this airport as my point of entry to Mexico The few options for food and drink are very good and the prices are reasonable,8.0,Neutral,Positive,Positive,POSITIVE,Positive,True
XL Airways France,airline,D Meares,2019-08-12,Paris to San Francisco Read the reviews after purchasing my ticket and was quite worried Ive flown to Europe multiple times on multiple airlines and this flight was just the same as all the other airlines Economy seats are the same size as UnitedDelta Our flight was several hundred dollars cheaper per person than any other alternative Yes boarding is a bit chaotic and unorganized but that was not that big of a deal to me Yes there are no screens on the seats however they offer free WiFi with access to their entertainment on your own device that includes movies tv shows games and music They do not have charging in seat so bring your own portable charger if necessary Food was delicious and they had good options for purchase throughout the flight Flight attendants were very friendly and provided great service We sat in the back of the plane with seats together and that was great because the aisles were a bit roomier back there,8.0,Positive,Positive,Positive,Positive,Positive,True
ZIPAIR,airline,L Baker,2024-09-25,The booking was easy via Zipair website reasonable price and good flight time The trip was pleasant in general the plane is clean new upgraded the staff were very friendly and polite and flight was on time But need to be more clear about the low price comes from not providing anything in return Like things are granted on other long flights hours for example a screen to watch movies games tv show this is unavailable on zipair there is WiFi to use on your own devices its not that strong anyway Other things are unavailable blankets no free non alcohol drinks even water I dont need to say food or snacks Thats all needed to be mentioned clearly on their website to be prepared ahead There are a few items available for purchase honestly the food could not be worse they bring it in small carton box water bottle thats it no tray no bread butter no dessert Otherwiseall good just needed to add these information and details make a plan to enjoy the trip,9.0,Positive,Positive,Positive,Positive,Positive,True
Wroclaw,airport,1 reviewsKacper Kielbaska,2015-08-26,Ive been to Wroclaw Airport times Its fast convenient beautiful airport doesnt matter if it is arrival or departure The variety of shops and restaurants is adequate and the prices are normal airport prices A very clean terminal that is one of the prettiest terminals Ive been to Toilets are very clean Only problem is absence of air conditioning in buses between terminal and airplane its very disappointing and uncomfortable in summer,9.0,Positive,Positive,Positive,Positive,Positive,True
V Air,airline,John Duffus,2015-08-16,I have taken flights on V Air and found it a surprisingly pleasant experience The aircraft seemed new the FAs were very efficient and the meals prebooked at a discount tasty On the latest TPECNX flight I measured the seat pitch at If this is accurate then it puts many of the long distance flights on legacy carriers to shame The first flight in May was held up an hour at TPE due to runway maintenance The other two this month both departed within minutes of the advertised schedule Its about time there were low cost carriers between BKK and TPE I will happily take V Air for future trips,8.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Mahan Air,airline,Rad Sedighian,2021-10-19,The Tehran lounge was really good free highspeed WiFi plenty of comfortable seating and endless snacks and food options which is really impressive considering that Mehrabad is a small yearold airport mainly used for domestic flights despite being international The A aircraft was really old but well maintained seats were very comfortable and featured a whopping m of legroom The interior was definitely upgraded from the original aircraft as things like touchscreens were nonexistent at the time the aircraft was built Bathroom was also clean and spacious A small amenity kit was provided along with some masks and a hand sanitizing gel A non alcoholic predeparture drink was served along with warm nuts The cabin crew were super warm and friendly a warm breakfast was served which was magnificent The service and amenities were unbelievable for such a short flight Though no WiFi was available on board and the IFE needed some serious improvement Also some snacks and refreshments were served before landing but I was too full to eat or drink so I just went for some water We departed on time but arrived minutes early and like all flights with Iranian pilots the landing was butter smooth It costed for a round trip in business class Overall really good flight and I would definitely fly Mahan Air again,9.0,Positive,Positive,Positive,Positive,Positive,True
Antigua Vc Bird,airport,Steve Tait,2016-03-24,This is a brand new terminal that opened just about nine months ago It is very well designed spacious light filled and comfortable with a limited yet sufficient number of traveler facilities Immigration both coming in and departing was quick and easy My only gripe is with the terminal and gate announcement system Every announcement in the airport even at the gate was totally garbled and not understandable There is something horribly wrong with the announcement system which really needs some immediate attention,7.0,Positive,Positive,Positive,Positive,Positive,True
