review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,label_agreement_level,predicted_sentiment
Canberra,airport,L Maben,2019-06-02,Professional courteous security Definitely a credit to the management and the leadership team Well done Definitely recommend the team for their professional approach and execution of their duties,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Chattanooga Metropolitan,airport,Bill Peterson,2006-05-12,CHA has the misfortune of being too close to Atlanta Over half of Chattanooga flyers drive to Atlanta or Nashville or Birmingham to fly However CHA offers competitive fares and I would guess most flights now are regional jet The airport itself is beautiful with a large copper dome as the facilitys trademark in honor of the citys railroad heritage CHA is a modern stateoftheart airport and is where I choose to fly out of even though I live in the northern Atlanta burbs,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Cochin,airport,Vidya Iyer,2021-11-06,Very disappointed to see that you are busy aping the western culture and forget our own roots As an Indian I am very proud of my heritage and all my traditional food However Cochin airport is a far cry from that You will happily serve cappuccino coffee to please a foreigner while completely omitting to serve a traditional Indian masala tea or a nice bru coffee It is very sad what Cochin airport has come to,2.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Corpus Christi,airport,Simon Channon,2011-03-21,It looks like a white elephant but what an elegant one Corpus Christi appears to handle only connecting flights to Dallas and Houston thats the international bit with just three airlines operating there It is light bright airy and wonderfully free of the normal hustle and bustle of a modern airport Checking in took three minutes passport control and security about the same they have new full body scanner Each airline has its own gate complete with airbridge to connect even to small planes,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Curacao,airport,R Noguera,2024-10-27,My Mom required wheel chair service and we received superb service especially on our departure by Devon He ran to get my Mom as there was a gate change and looked for me as I was getting a snack for her None of the crew advised us but there was Devon with his wonderful smile,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Da Nang,airport,Helge Johansson,2024-11-16,Nice clean but crazy expensive food USD for a Cappuccino for a Bnh M Besides that its a nice airport with all facilities you can expect,3.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Dallas Fort-Worth,airport,52 reviewsMahmud Noormohamed,2024-07-09,Whats not to like about DFW You can park at any terminal and take the SkyLink to whichever terminal youre departing from Departure from Terminal E and arrival at Terminal A Parked across from Terminal E United Airlines gates TSAPre took a little bit longer than usual to clear minutes Both Terminals A E are spacious with plenty of shops and dining options Terminals were clean,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Damascus,airport,J Delmonte,2011-05-01,I first arrived in Damascus in Feb Since then I have been back and forth almost times a year since then I am an Englishman who met and married a Syrian girl in The airport in my view was more relaxed in the old days whereby you could check in and walk back into the loungecafe for tea etc with your friends and family,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Durgapur,airport,Jayastu Senapati,2020-03-10,Kazi Nazrul Islam airport RDP Durgapur is a new greenfield airport in the the industrial city of Durgapur West Bengal Eastern India It is a growing airport which holds much promise for improving air connectivity to this part of the state and can become a major player in boosting tourism and business in the area The connectivity from the city to the airport has improved but still needs more intervention including development of the surrounding areas,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Ercan,airport,Allan Foster,2018-10-04,After standing at passport control for over hour It was our turn Seconds earlier a couple appeared in another queue next to ours My partner who speaks the language perfectly pointed out that there was a queue Also someone else in the queue pointed it out as well The passport officer told us to go back over the red line And told this couple to come forward Not military not late for the same flight as us Cant believe that someone should get preferential treatment at passport control,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Friedrichshafen,airport,H Oberbeckmann,2013-07-07,The airport is very small with just about million passengers a year The few checkin desks are enough service is fast no queues travel agencys most big car rental companys have a desk and restaurants and visitors terrace with a nice view are available,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Funchal,airport,Anthony Pilkington,2024-01-25,I was a disabled passenger on the Tui flight departure date which eventually took off All Madeirian staff at the airport were polite very helpful in particular the disabled Assistance staff The poor weather affecting the departure will not deter my family from coming back to Funchal All the very best for the new year,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Guayaquil,airport,Joseph Travis,2011-08-07,Guayaquils airport has most of the services that we have here in Australia they even offer jetways into planes There are restaurants ATMs machines banks coffee shops and entertainment it passed our expectations without doubt,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Haikou,airport,1 reviewsQiteng Lu,2018-12-25,The international terminal of Haikou Airport is a very spacious terminal I have ever seen The terminal is small and dedicated The staff of VIP room help me to carry the language when I arrived and welcome me before I check in and keep me company all the way to the lounge There is a beautiful tropical garden in the terminal The staff in the airport is professional and dedicated I want to thank them for treating me so well,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Hat Yai,airport,J Gauthier,2012-01-09,Regional airport not that busy Efficient checkin Services pretty basic but everything works Newer TG Business Lounge very nice,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Hatay,airport,M Veitch,2011-04-16,Hatay HTY I flew into Hatay last year for my daughters wedding celebration airport was small but adequate and staff were helpful,5.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Iloilo,airport,Nancy Macendo,2022-07-23,Waiting area is too far from the entrance a lot of mosquitos in waiting area as its open crowded too My flight at am and I arrived long hours before my flight in which they decided to let me stay in waiting area overnight and mosquitos enjoying to eat you alive Please do something,1.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Iloilo,airport,Nick Talavera,2020-12-18,Though it is small it is one of the best efficient and beautifully designed international airports in the Philippines Been using it when I am visiting for business and leisure and Im not disappointed everytime I used this airport I do hope the government will expand this soon,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Islamabad,airport,A Talat,2019-07-17,Massive improvement in airport and staff Very clean public facilities are well maintained Staff are a bit friendlier now and fewer queues on departure and arrival securityimmigration clearance due to having extra staff on counters Just need a few more shops in the terminal,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Jakarta,airport,Angela Avida,2020-02-29,Most of the airport was hot Only felt moderately cool at the quiet area which wasnt quiet at all It was right next to noisy escalators and on top of an area where staff I assume they were staff would congregate and loudly converse The rest of the time I thought staff were loudly and the airport was nice enough Lots of restaurants and little shops although most closed at night I arrived and was in transit for hours Outlets everywhere and potable water available,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
John Wayne,airport,1 reviewsMatthew Salovitz,2018-10-03,Beautiful airport in Orange County with incredible ease to all major interstates Airport sits off the and is perfectly situated for Los Angeles visitors Large airport with a small town feel,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
John Wayne,airport,Dylan Peterson,2016-03-28,Love John Wayne Airport it is close and convenient to the I and everything in southern California It is a lot easier to get in and out of than LAX and so much more modern Flew from here to Portland recently and going through security and checking in the bags was a breeze,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kaohsiung,airport,Kevin Wu,2008-08-13,Kaohsiung International airport are one of the best airport to entry Taiwan Now with all the transportation by subway which can easy get from Kaohsiung down town to Kaohsiung airport in mins,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Karlsruhe,airport,S Townsley,2011-06-19,Since my last review Karlsruhe airport has improved beyond expectations Regular flights to more destinations and vastly improved bus services to Baden and Rastatt Eating and shopping facilities need to be improved especially on Sundays when the duty free shop and gate one bar are generally closed,4.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Khartoum,airport,Malachy Roscoe,2004-05-04,The obligatory show of your boarding pass on boarding the plane Dont expect duty free air conditioned waiting areas business lounges or facilities smiles hello thank you goodbye catering information desk assistance even from airline representatives or toilet facilities and you wont be left disappointed But once outside the Worlds Worst Airport you will meet the most pleasant courteous and honest people that I have ever personally encountered Welcome to the real Sudan,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Kiev Zhulyany,airport,katya ivanova,2019-08-04,This airport was very efficient no lines or delayed services There are a lot of shops where you can shop and places where you can have a bite Delicious coffee and bakery items to buy,10.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Kilimanjaro,airport,Adam Simmons,2010-06-23,Compared to so many airports a delightful experience I was first off my arriving flight and so did not have to queue for a visa Only one person was doling them out so I guess that stragglers had quite a wait On departure plenty of shops for such a small airport with plenty of seating both indoors and out no problems in either direction with passport or customs,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
King Mswati III Intl,airport,3 reviewsTeayaung Kim,2016-02-09,Recently opened airport because the former airport in Matshapa is now being used as something else The new location is quite inconvenient because it takes more than an hour from Mbabane city centre and I would strongly recommend that you use the road from Johannesburg to Mbabane because it takes only four hours from SA Cost wise it is also efficient to use the road,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kinshasa,airport,S Ross,2016-10-13,I read horror stories and read terrible reviews about Kinshasa FIH Ndjilli Airport I was very nervous about going through there What a lovely surprise awaited me A brand new terminal clean bright air conditioned well a big plus in Africa all employees well dressed and polite Procedures took time and were very detailed but nothing out of the ordinary You dont really need to pay a VIP service to go through you will be OK on your own Make sure all your travel documents and stay details ready for inspection,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Koh Samui,airport,Andrew Mortimer,2022-12-12,Brilliant little airport with thoughtful touches such as free snacks and water Only downside was the open air departure lounges so no air conditioning ie humidity very high,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Koh Samui,airport,2 reviewsA Davids,2017-04-15,From the first step of the airplane at Koh Samui Airport I felt that I was in a tropical paradise It was not a standard airport bus but a train of small wagons painted in bright colours Airport is a complex of many small buildings in Thai style connected by open galleries A lot of open space just covered with roof from rain Many trees and flowers Even an aquarium in WC There are minibuses for transfer to Samui hotels and of course you can take an individual taxi with fixed price,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kota Kinabalu,airport,2 reviewsAzizul Ismail,2015-11-30,A modern medium size airport with ample space airside got plenty of outlets at the departure area and efficient checkin counter The airport is near to the city centre and it is easy to reach by taxi and private transportation Once through the security check you will be greeted by an airy airside with an ample seating area near to the gate and due to the design of the terminal the distance of the gate is really short and gave ample time for the passenger to catch their flight,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Langkawi,airport,Y Ren,2013-08-11,Small airport only serves a couple of airlines Landing process was pretty fast seem the airport does not have air bridges Bags delivered pretty fast Check in at airport was fine many dining options Security check was fast Not sure about transportation options because we were picked up and dropped off by our hotel It is a very sufficient regional airport,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Leipzig/halle,airport,Evan Duerr,2008-01-22,Easy to get to with car from the Autobahn or from Leipzig with the train The airport is large but not confusing or crowded Security was a breeze All the people seemed nice,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Leon Guanajuato,airport,Sandy Huff,2007-02-05,Ive flown in and out of BJX a half dozen times and have no problems Take along a book or knitting as there are only a couple of souvenir shops but they are colorful and reasonable My destination has been San Miguel de Allende the art colony thats popular with US citizens,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Leon Guanajuato,airport,Edgar Solis,2006-05-31,This is a small and nice airport Ive landed and departed from this airport before and it has changed a lot I dont know why it is called Leon Airport if it is closer to Silao Gto I landed there a few months ago my destination was Romita Gto my mothers hometown This airport is very convenient for us since it is only about mins away from Romita Also this airport is not very far from Guanajuato city I recommend people to visit Guanajuato this is perhaps the most European style city in Mexico,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Limoges,airport,1 reviewsFlorian Chissadon,2016-12-28,I travel from Limoges to and from Paris The terminal is a little bit small but it is very clean There is a not a very long queue time and the staff were very proactive At this airport there is one bar and one restaurant but there are no lounges or dutyfree The boarding area is very small and there is not much seating This is a little but very efficient airport,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Long Island Macarthur,airport,Michael Nevradakis,2006-01-02,Very nice airport closely situated to New York City and very convenient for all travelling tofrom Long Island Decent selection of shops easy to navigate and not crowded at all when I flew threw both times Local hub for Southwest airlines,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Lviv,airport,Ivan Dzhur,2015-01-19,Once again I used Lviv Airport four times in August Very satisfied with facilities and staff who work there Definitely beats many USA airport who have a lot to do in order to improve,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Mauritius,airport,1 reviewsDinesh Maudhoo,2019-12-28,Probably the best island airport in the Indian Ocean Well designed structure the only challenge is the long queue in the immigration hall The authorities need to arrange extra officers during peak timings,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Medan,airport,Anthony C Lawman,2012-08-07,I have used Polonia six times in the last four year both international and domestic arrival and departure No problems with taxis overcharging just as for any airport do your research Be affirmative informed and polite,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Medina,airport,Kamaruddin bin Ismail,2018-10-28,First time arriving in this beautiful country together with wife for umrah Arrived by Malaysia Airlines A and departure with same aircraft Facilities well kept staff welcome us with a smile Easy flow for arriving and departing,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Miami,airport,Stefania Miniucchi,2024-11-11,Arriving at Miami International Airport to return to Rome we had the invaluable assistance at the automatic checkin before the Air Canada desk so I dont think an Air Canada employee helped us so much to understand how we had to make our boarding passes and what to do with our luggage Thanks to him the passage through this airport seemed delightful,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Milwaukee,airport,J Cummings,2011-12-29,One of my favorite airports to make a connection through Ive flown through MKE maybe times or so and never have had to wait in a line to go through security There is also a very nice bookstore decent food options nice play areas for kids and an aviation museum The airport is also fairly stress free for making connections,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Miri,airport,G Carroll,2005-10-14,The new airport in Miri is a blessing to all of us frequent travellers Although it is small it is efficient clean and cool If anything needs to be imroved on is the charges we have to pay for a small cup of coffee or a meal The charges are much too high for a domestic airport,0.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Monastir,airport,Amanda Taylor,2007-08-06,I agree most strongly that passport control is a nightmare I could not believe the length of time it takes to get passengers through and especially when the airport is so hot and lacked air conditioning I have visited this Airport twice now and hope that in future they can implement a more effective way of getting through control The rest of the airport was fine and even homeward bound found it was comfortably set out with refreshments and enjoyed a last encounter of some traditional Tunisian retail shops,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Monastir,airport,Iain Murray,2005-08-29,Impressed by this airport apart from the queue at Passport control It took ages once through to Departures everything was fine Duty Free was reasonable and plenty of places to get a drink or something to eat,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Montgomery Regional,airport,Don Orlando,2015-04-22,Montgomery Regional Airport Dannelly Field has been completely modernized and is one of the most attractive small airports in the US Checkin in close to the curb and security is efficient Food and drink groundside and airside is basic Deplaning is easy and baggage claim is close to the street Parking is reasonably convenient unless you are travelling mid week It can be a longish walk to the terminal,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Montpellier,airport,40 reviewsH Rowe,2020-07-30,A small yet very convenient airport in the south of France From the plane to the exit takes no more than min Signaling shopping etc is all fine given the size and role of the airport Its not the most modern airport but everything is well maintained Theres a convenient bus service to the city center,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Moscow Sheremetyevo,airport,Steve Fisher,2020-03-19,Transfer from international to domestic flight and back last week My flight from London arrived into Terminal D and transferred to Terminal B for the domestic departure Efficient experience overall clear signage but some long walking distances from arrival to the shuttle train Terminal B has a nice interesting design and plenty of seats with chargers Nice selection of lounges for cardholders Overall recommended,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Muscat Seeb,airport,30 reviewsZiauddin Ahmed,2020-02-27,I visited Oman first time in and used this airport It was then very a small and unorganized airport Now the airport has become huge with many other facilities There is a museum with Omani architectures There are many handicrafts shops with very high prices of commodities There are KFC and McDonalds that offer food at an affordable price There are Muslim prayer room and toilets as well,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Muscat Seeb,airport,A Trang,2020-01-19,I visited Oman first time in and used this airport It was then very a small and unorganized airport Now the airport has become huge with many other facilities There is a museum with Omani architectures There are many handicrafts shops with very high prices of commodities There are KFC and McDonalds that offer food at an affordable price There are Muslim prayer room and toilets as well,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Nanning Wuxu,airport,P Hu,2016-04-28,The airport is very new and modern I have flown through this airport multiple times but this is the first time at the new terminal It is a lot larger than the original terminal There was finally free WiFi and it was pretty fast considering the internet in China It was mainly based off of Shanghai Pudong the airport I was actually flying to and had the identical announcement system that PVG terminal had Although there were a few foreigners including me it felt very open and very welcoming,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
New Orleans,airport,E Smith,2023-05-12,Was departing New Orleans two days after jazzfest Had no problems with queueing anywhere Had some time to kill before my flight and sat outside in a cool spot close to where buses depart Spent some time chatting to n airport employee Absolutely delightful polite young man,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Nuremburg,airport,1 reviewsAlexander Cunningham,2023-11-14,A friendly airport if you just want to watch the planes from the viewing area but not passenger friendly poor layout Up a lot of stairs for passport checks when you arrive Had to go through security the past twice on departure the both times they claimed I had passed through a public area after the first check Security patdowns are embarrassingly intimate,6.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
Okinawa Naha,airport,J Brand,2013-09-03,I live here and fly regularly New terminals are open airy and plenty of seating Limited but appropriate shopping Nice caferestaurant selection for a small airport Security swift and courteous,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Orlando Sanford,airport,Suzanne Archer,2024-12-03,I would like to share a positive experience I had with airport staff on December I came back from a weeklong trip to find that my car battery had completely died We called AAA but it was a long wait time due to the holiday weekend A very nice gentleman in an airport pickup stopped by to check on us and offered to jump start the car He was respectful and courteous and saved us quite a bit of wait time We will forever be grateful for his kindness and professionalism,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Ottawa,airport,1 reviewsStevan Beara,2019-08-26,Ottawa is my home airport and given the population that it serves its very convenient It is not very large so it may not have some of the amenities larger airports will have showers multiple lounges etc but its fast clean and provides an acceptable amount of food choices Whenever possible I like to clear customs in this airport vs doing so in Toronto or Montreal,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Ottawa,airport,Julie Pou,2016-04-04,I really like this airport it is small and not complicated It is really clean and they have a small but nice section for kids to play Just wish there were more restaurant for the US side There are usually no delays The airport is a bit far from downtown so a bit expensive in taxi but hey they have Uber and lot of parking space,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Palm Springs,airport,John Oram,2007-07-10,I arrived at PSP from SFO I have used the airport from time to time in the past It is quite capable of coping with its traffic but has experienced one major improvement whereby hired cars can now be collected on site This is very welcome especially when the heat is high,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Paro,airport,3 reviewsTeayaung Kim,2016-02-09,Paro International Airport is located meter above sea level so flights can only fly in the morning I took a Druk Air flight from Bangkok and the other time I took a flight from Kathmandu I prefer flying from Kathmandu because I could see Himalayan Mountains if the weather permits Paro Airport has very basic amenities because they have two carriers flying in and out It replicated Bhutanese traditional architecture and it looked very beautiful as I was walking into the airport,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Portland,airport,Simon Fowler,2022-06-23,A quiet afternoon at PDX Short queues to get through security with efficient and helpful staff As the space allocated for security was fairly small I can imagine at that at busy times there could be problems,7.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Providence,airport,52 reviewsMahmud Noormohamed,2024-11-02,Whats not to like about TF Green Airport It was recently ranked the d best airport by Travel Leisure readers Its newly remodeled bathrooms are like those of a star hotel Going through TSAPre was a breeze Cleared security in less than minutes Distances from security area to either end of the terminal are manageable WiFi is fast and worked flawlessly This used to be my home airport before I relocated to the Dallas area and it remains one of my favorite airports to fly through,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Providence,airport,52 reviewsN Malcolm,2022-06-29,There is a reason why this airport is consistently named among the best small airports in the USA Thanks to COVID some shops and eateries have shuttered and not reopened to date Security was a breeze There was no line and I walked right up to the TSA counter and cleared security in less than minutes There is a spill over of passengers from the gate area to the concourse nonetheless there is enough space to navigate the concourses The Escape Lounge is a welcome addition to this airport,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
