review_name,review_type,passenger_name,review_date,review_text,ground_truth_sentiment
Aberdeen,airport,Margaret Ferguson,2/23/2023,"Firstly, let me say that the Special Assistance Team at Aberdeen are THE BEST. Helpful, accommodating and friendly, nothing too much trouble. It's the rest of the airport which lets them down! We were on a Tui flight due to fly at 2.50pm The check-in board said check-in opens at 12.20. We joined the queue at 12.15. No sign of any staff at the desks. A person in what may have been Tui colours appeared at one of the desks, shuffled some papers, walked away. Another person in airport livery then approached the desk, looked at the papers, and walked off. The check-in desk actually opened, by ONE of the two staff at a different desk than advertised at 12.30. A minute later, a guy joined at an adjacent desk After check-in, security. The lady on the desk said I'd asked for assistance so should have a wheel chair. I didn't need one for this airport, just help with the steps to the plane. Nope, she said it was the rule, and sent me back to the assistance desk. Assistance guy escorted me back to security and explained that it wasn't quite the rule, Through security, to a very quiet shopping mall. Down the steps to the departure lounge. There is a small lift thing, but I'm scared of it, Would you believe the coffee shop at departures was closed. There is a soft drinks and confectionary machine but no coffee. Hubby then went back up the stairs and eventually found a coffee shop open in the mall, I realise that the airport was not busy, which is odd for a Saturday. But really, to not have an open coffee shop or indeed not to show it closed before the departure lounge, is poor. Maybe we are all expected to pay the exorbitant fee for the Northern Lights lounge. The next problem was indeed the departure. I don't know whose fault this is, whether Tui or airport administration, but it's at least inefficient. The departure board said gate opens 2.15. We could see the plane on its usual stance-It comes from Tenerife, gets cleaned, turns round and goes back I believe. We had been told gate 1. We got there at about 2.20 and were taken to the plane lift when the flight was eventually announced. We waited in the lift at the emergency door, for a good five minutes until the door was opened. By this time it was 2.35. We could see the queue of passengers for the other doors, in the cold wind and gathering clouds. There were babies and toddlers in that queue. As an aside, this stance is one of the farthest away from the terminal. BA flights have covered walkways from the terminal itself. Maybe it's something to do with landing fees, for which I believe Aberdeen is expensive. Eventually we were allowed to board. The plane was absolutely perfectly clean I have to say. Just unfortunate for those poor passengers who had to wait so long in the cold, with young children. All in all a poor airport experience",NEGATIVE
Aberdeen,airport,1 reviewsIan Geddes,6/18/2022,Arrived in plenty of time to check in so went for a cup of coffee. It's been a while since I have used this airport so there were big changes from the last time. Went to the bar/café at 14.05 to be told that they closed at 14.00 and the tills were locked. If I wanted coffee I would have to wait till I was through security I have used airports all over the world and have never known a bar or restaurant to close during the day. Added to the non availability of seats unless you needed assistance it provided a worse service than airports in third world countries. I will be using Inverness in future as my airport of choice. Aberdeen airport is an absolute embarrassment for a so called international airport.,NEGATIVE
Aberdeen,airport,C Hurley,5/27/2022,"The security staff at Aberdeen airport are not up to standard. Many of them are aggressive and argumentative and their main aim is not to be friendly or courteous. I have been fortunate enough to travel to many countries and I say, without hesitation that the security staff at Aberdeen airport are either the most poorly trained that I have encountered or that they are paying no attention to the training they receive. The management team needs to review the training of the security staff at Aberdeen airport urgently.",NEGATIVE
Aberdeen,airport,Jo Lenate,3/3/2022,"Staff at the security are extremely rude and abusive. Aberdeen airport security staff (especially a lady and a man (both middle-aged)) should be re-trained to not to shout at passengers, they seem not to enjoy their job at all and simply there to abuse passengers! Very upset, very disappointed, I will take the train next time! Never again!",NEGATIVE
Aberdeen,airport,G Protano,7/12/2020,"The airport is clean and easy to go, the price for the drop off is high as 3 GBP. And the security staff need to be educated to dealing with passenger. Some are friendly but some are very rude and abusive. They think to have all the power of the police.",NEUTRAL
Aberdeen,airport,Ian Hughes,2/27/2020,"This truly is an embarrassment to the city. Over 40 years I have lived in Aberdeen and seen minimal improvement, whilst cities like Manchester, Glasgow and Edinburgh have progressed to modern facilities. £3 to get dropped off, tiny check-in area always with queues, cramped public areas, crammed into a corridor before boarding, no airbridge (who has to walk outside to board a plane these days?), ridiculous luggage reclaim a mile away from anything, stupid obstructions for your luggage trolley outside the airport, a taxi queue rarely with any taxis. Overall a disgrace and no wonder it's been voted UKs third-worst airport.",NEGATIVE
Aberdeen,airport,D Brown,2/5/2020,"Airport is overpriced, it has a serious lack of facilities which those they do have, they want money for. This is the worst airport I have ever travelled through and signs show that it is only getting worse.",NEGATIVE
Abidjan,airport,8 reviewsH Blumenthal,7/27/2021,"When first opened some years ago, it was possibly the best airport in Africa but no more! It is even a true mess. Difficult to find one's way, overcrowded and not very clean anymore. The worse was the boarding of my Air Cote d'Ivoire flight: we had to go down on the tarmac and then walk several hundred yards on very uneven ground, in the middle of service vehicles and planes, with no escort, no security. It is well possible it was the airline's fault (sadly not listed on Skytrax) as Air Cote d'Ivoire's service is absolutely non existent, even for business class passengers.",NEGATIVE
Abidjan,airport,D Sane,12/13/2017,"I have been transiting a few times recently. The airport looks clean, nice and modern, but it's very disorganised. Boarding passes are checked more than five times, while once or twice should be enough. Security screening sees long queues up into the immigration area, due to excessive scrutiny. Transit passengers need to queue to have their boarding pass checked, a practice I haven't seen anywhere else in the world. This all adds to delays, affecting connecting flights as well. For boarding Air Côte d'Ivoire, passengers are asked to wait outside of the terminal, for a bus to the plane, several destinations combined. This kind of takes away the point of checking the boarding pass five times over before completing the boarding process within the terminal. WiFi is free for just half an hour. The terminal is modern and clean, but even at this small size it already looks very overstretched. Lomé Airport does a better job of being a hub in West Africa.",NEGATIVE
Abidjan,airport,Simon Gooch,5/3/2016,"I have been through Abidjan a few times and whilst I was impressed on my first visit, progressive improvements since then mean that it is definitely the best airport I have been to in Africa. There is now decent and free wifi in the departures area, a comfortable new cafe and the information boards are clear.",POSITIVE
Abidjan,airport,Anoma Yao,6/30/2014,Small airport but modern and clean facility. No hustlers in the terminal unlike in most African airports. Not much queuing at check-in immigration and security. Air-conditioning functions toilets are clean airbridges and no pax busses but poor amenities: no wifi tiny duty free zone and unattractive lounge.,NEUTRAL
Abidjan,airport,Pedro Gil,12/20/2006,I frequently travel through this airport and would note a couple of problems in an otherwise nice facility. First I've arrived on another airline and been unable to get help in the transit lounge from Air I'voire even though they are my next flight. You have to get somebody to take you to the front desk through a little back hallway and tip them. Second if you go through the passport desk they have plain clothed policemen without badges who demand your passport in the luggage area without identifying themselves. The restaurant in the departure area is much nicer than the one outside the ticket area where you check in.,NEGATIVE
Abidjan,airport,Grant Macpherson,5/28/2005,I've been through ABJ Airport a number of times over the last couple of years and consider it the best airport in West / Central Africa possible one of the newest. Very clean and friendly with good security. Customs and Immigration take a while to get through but post 9/11 it's no worse than in the States or Europe. Air france the main carrier to/from Europe has additional security prior to boarding the plane. Check in staff and airport Staff both landside and airside very helpfull generally very good Duty Free taking both CFA Euro Dollars and credit cards,POSITIVE
Abidjan,airport,M Meiners,5/14/2005,"I had to visit Abidjan this January. There is no doubt the airport is more than a pleasant surprise: One would expect the worst for any West African ariport in general and even more for this one keeping in mind that the country is fairly isolated and suffering from heavy civil unrest and at the edge of civil war keeping most western travellers and business away. In fact the airport corresponds totally to European counterparts of the same size (fairly small thus). The terminal building is very new and has been totally rebuild in a quite recent past with all confort one can expect: Aircondition normal sanitary facilities and yes all is clean and in good working condition! On arrival jet aircrafts just dock at a direct tunnel connection to the building distances are quite short. All controls are very smooth with absolutely no bribes to give to any official. While standing in line for passport control a ""doctor"" passes trough the lines and checks vaccinations (Yellow fever is compulsory) every where there is security passport control is smooth and efficient although every one tries to be closest to the luggage belt this also goes quite smoothly including inspection of luggage. No unauthorized people in the arrival area and nowhere unpleasant people insisting on ""helping"" you carrying your luggage and then trying to run away with it (apparently some people do have a sort of authorization to enter customs area for helping passengers but not insisting). Departure also is quite smooth: Check in is done in an enclosed area with identity check at the entrance so here also one is safe after checking in there is just a short way up the stairs passing customs and then to the departure hall. Here also with all normal facilities: duty free shop large restaurant area some smaller shops and sanitary facilities still clean and in good working order! Altogether thus a pleasant experience!",POSITIVE
Abu Dhabi,airport,Elizabeth Abraham,1/23/2025,This is a very modern airport but they have not thought through all details. There is no place for a non premium tired traveler to stretch their legs and relax. Many of the other supports I've been at have a reclining chair with possibility to stretch legs. Not all of us can afford the lounge or the on sure hotel. 130 usd for 4 hours! Also there are not enough phone and computer charging capabilities in this modern airport. Very disappointed.,NEGATIVE
Abu Dhabi,airport,4 reviewsNash Degaonkar,12/13/2024,"The Airport is pretty decent in a lot of aspects. The duty free is vast, the airport staff and security are ultra professional, helped me guide through the terminal on where to find my gate. However, the Wi-Fi experience could have been better, because doing facetime calls was a problem, considering whatsapp is not allowed. Anyhow, it is massive.",NEUTRAL
Abu Dhabi,airport,Maryna Ulgen,11/17/2024,Great airport. Good duty free Good f&b outlets. Just one question - why do you clean all washrooms at the same time leaving just handicapped ones opened? And to find a vacant one you need to pass several kms to find it!,POSITIVE
Abu Dhabi,airport,Gary Colburn,10/18/2024,"Super modern airport, bright shiny and very clean. Security control was reasonably quick on departure and arrival and I found the staff professional, although they don't smile a lot. Bonus points for having showers after security, I took one and it was marvellous. I wasn't sold on Abu Dhabi itself but the airport is certainly one of the best I've experienced in recent times.",POSITIVE
Abu Dhabi,airport,Stephanie Themis,8/17/2024,Was feeling travel sick after arriving Abu Dhabi airport and while waiting for my next flight Starbucks staff were very helpful and called the medic for me and were very helpful. Helped me recover within hour. Lovely staff,POSITIVE
Abu Dhabi,airport,E Marsel,6/11/2024,"On 10th of June I had a connection flight from Abu Dhabi to London at 2pm at gate D43. As I knew there was an additional security check at the gate and it had never been pleasant but this time it was enough uncomfortable to me therefore i decided to share my experience. I was searched by a female security officer and her professionalism was questionable. Her First question was about my mental health. When I answered positively, she laughed. She did my fully body check without asking me about permission. For a whole time she treated me as a suspect not as a customer. She asked me about sharp items and box matches with a joyable voice. She found even my period products very suspicious as well, having a lot of fun in meantime. I had a few security checks before her that day already and a flight. She left me with anxiety level until the roof wishing me a ""good day"". When I decided to pay a good money for a good airline I expected a good customer service at the airport as well.",NEGATIVE
Abu Dhabi,airport,S Mitchell,2/29/2024,"Airport may look amazing but passport control for arrivals is a shambles. 3 people on, with massive queues and other staff hanging around chatting. One was even on his phone rather than work",NEGATIVE
Abu Dhabi,airport,B Vanetee,2/14/2024,"As inefficient as the old airport. The only thing that has changed is the infrastructure. Self checkin kiosks, gates and shopping are the positives. Staff quality is as pathetic and inefficient as was before. Boarded through gate E. Took almost 45 mins to get to the bus.",NEGATIVE
Abu Dhabi,airport,12 reviewsR Purten,10/28/2023,"We have been transiting through this airport for over a decade, during which it has been steadily going downhill. Terminal 1 has spectacular dome architecture and a good variety of cafes. Unfortunately, the quantity of flights transiting through Abu Dhabi means that virtually all now pass through the utilitarian and uninspired Terminal 3. Transiting through this terminal means a long walk from disembarkation to security, then an even longer walk to the next gate. Security check is always jam-packed with long queues in a small area. At least the screening machines are sophisticated (laptops can stay in cases) and security personnel are mostly good-humoured. However, Terminal 3 is not a pleasant place to wait between flights: there are few eating and drinking facilities in evidence. This time we made the mistake of investigating the Al Dhabi Lounge but found it to be overcrowded and dirty.",NEGATIVE
Abu Dhabi,airport,F Montaldo,8/23/2023,Transited two times in Abu Dhabi and I confirm it as the worst airport of my life. Fully packed of people with no place to sit. People sleeping on the floor and leaning on the walls for despair. All the amenities were dirty and stinky. I'll never choose Etihad anymore due to their main airport.,NEGATIVE
Abuja,airport,M Parker,3/5/2017,"Abuja airport is closing on 7 March for 6 weeks until 18 April for reconstruction of the runway. The nearest airport to Abuja during this period is Kaduna a 3 hour drive or train ride away so getting to and from the capital of Nigeria is going to be a big hassle until the airport reopens. The only international airline currently planning to fly into Kaduna is Ethiopian - otherwise you will have to fly to Lagos and take a domestic flight to Kaduna. Abuja airport when reopened is not too bad to use (by Nigerian standards). The international terminal is not very busy so getting through is pretty painless. The domestic terminal is in the same location - check in is on one side of the internatonal terminal (for most airlines) and the actual departures area on the other side so you have to come out of the check in area and then walk past international departures and back into the departures area. The actual departures area is up an external metal staircase which is a bit of a schlep. At the top you re-enter the building go through security and are in the departures area. It's quite large and there is air-conditioning but sometimes it gets very crowded if there are lots of delayed flights (which is very common). There are some lounges you can pay to use for about N2,000 ($4) so that is well worth it if you are facing a long delay as you will get a more comfy seat, cleaner toilets, better airconditioning and a cup of tea and a biscuit. There are a couple of cafes in the main area selling mostly Nigerian food and a few shops selling the sort of things you find in any Nigerian market. To board the domestic flights you have to exit the departures area down another external metal staircase and then get in a bus or walk to your plane depending on how far away it is parked. On arrival you actually come into the International departures and arrivals building where but you have to exit to the outside to locate your transport as only passengers are allowed into the building itself. One irritating thing about the airport is the X ray bag check to enter each building so if you are flying domestic you have to go through this twice entering the building and then a 3rd time when you are going into the departures area. International arrivals can be a slow process if two international flights arrive at the same time as there is only one desk for international passport holders and a lengthy two person process where someone from state security first checks your passport and then passes it to the immigration official. Be aware that on exiting the baggage claim area in both domestic and international areas you may be asked to show your baggage claim tags so they can be compared with the tags on your bags. I can't recommend the airport but if you are travelling to Abuja it is your only option (once it reopens). It is also much easier to use than Lagos international terminal if you are arriving in Nigeria for the first time. A new international terminal is under construction and due to open later this year. At this point the current strangely laid out mixture of domestic and international should become the domestic terminal. To get from the airport to Abuja is about a 40 minute drive down a wide multilane highway. It is best to arrange a pick up in advance to avoid ending up in a rather tatty and potentially unsafe normal taxi at the airport. The cost to Abuja should be between N5,000 to N10,000 depending on the state of the taxi.",NEGATIVE
Abuja,airport,Sumaiya Yakubu,4/25/2016,"For starters Abuja airport was super hot, no air conditioning or at least fans. Everything you do in the airport you pay for yet provision simple services is poor. It also took too long for bags to arrive while there were not enough seats. I am ashamed right now as a Nigerian. Unfriendly staff as well - it needs serious intervention.",NEGATIVE
Abuja,airport,Alan Wan,2/28/2012,On arrival as we flew Business Class we were near the front of the line for immigration. Baggage did not take too long to arrive. Finding a taxi was not obvious but a friendly airport employee walked us across the car park to the taxis - make sure you agree a price in advance. When we departed Abuja although it was quiet and there was no one in front it still took an hour to check-in. Bags had to be x-rayed and PAX go through a metal detector bags then manually weighed and manually searched after which we could check- in. Due to a computer crash boarding cards were manually written - however ground staff later gave out printed cards at the gate. The business lounge was rubbish but at least the sofas were comfy. At the gate all passengers and bags were searched again - by very friendly staff.,NEUTRAL
Abuja,airport,A Cobo,8/8/2011,Abuja international arrivals greets you with a long immigration line. Only one booth is set up to accommodate a complete flight with another booth for dignitaries and diplomats. One can stand for over 1 hour in this line while the immigration clerk scrutinizes your passport and visa. The people are generally nice and polite the airport is clean. AC is mediocre. International departure was crowded and not very comfortable and in most places extremely hot. Food options are limited. Abuja national terminal is another story. Very hot limited seating not so clean limited food options and crowded. There are no flight departure screens. In general an unkempt image.,NEGATIVE
Abuja,airport,Antonio Tettamanzy,4/14/2011,It was better than expected but can be quite messy sometimes. Currently (April 2011) the road which connects the airport to town is under maintenance and traffic at peak hours is nothing less than crazy so program yourself to go there early. In the passengers lounge there is absolutely nothing to do but a couple of convenience stores to buy soda and crackers. Toilets are decent but with no towels nor soap to wash the hands.,NEUTRAL
Abuja,airport,C Stafford,1/31/2010,Upon arrival from Amsterdam on KLM I went to use the bathroom and there was no garbage can and no toilet paper. The airport was cleaner than I expected. I think it's better than Lagos actually. Our luggage failed to arrive with us and we were told to come back in 3 days time to pick it up! We weren't going to be anywhere near Abuja in 3 days! We were told later by the airline (after we got back to the US) that they should have delivered it to us. (It was a 6 hour drive one way by the way.) Leaving was a nightmare. They had no record of our changed flight days and had no way of checking with our credit card (we were told that's all we would need to verify our changed dates-a credit card.) We were told to step aside while they helped other passengers. Then we were sent to one person who told us to go to another person etc etc. It took two hours to straighten out the mess and that was only because my husband had to beg the woman to let him use her computer so he could check his email which he was sure would have a confirmation of the change. I will say this particular woman was very professional and willing to do whatever it took to help us. Boarding passes were hand-written. Upon checking our baggage the woman typed in LIM instead of ILM which meant our bags were heading for Lima Peru not Wilmington North Carolina! This screw-up was revealed to us upon arriving in Atlanta. Overall not a good experience with the airport or maybe it was just KLM/Delta. Who knows. I was not impressed.,NEGATIVE
Abuja,airport,Mark Bickerton,5/24/2009,The international terminal is nice and quite well organised but there is nothing much to do there. The domestic terminal is madness especially between 4pm and 7pm when many flights depart for Lagos. Its more like an old bus station than an airport and I am not sure the security is that strong (last time I was there the boarding passes were handwritten on small pieces of photocopied paper),POSITIVE
Abuja,airport,S Adewale,3/3/2007,In Nigerian standards relatively clean and organized. However I was bored out of my mind when waiting for my flight because the shopping and entertainment possibilities is nil. Overall and compared to Lagos domestic terminal this airport is paradise on earth.,POSITIVE
Acapulco,airport,Pieter Boone,6/6/2022,"This 'newish' airport is compact, clean, spacious, bright and well designed. I arrived from Dallas. Plane docked at a jet bridge. Quick and short walk to fast and friendly immigration followed by customs. less than 5 minutes plane door to curb. Well managed & safe taxi service with no lines. On the return a similar smooth experience. The airside offers a nice choice of shops, restaurant and lounges. Certainly the small scale makes this airport a joy to use for -limited- international travel. Nice friendly staff everywhere.",POSITIVE
Accra Kotoka,airport,Jacob Thomas,3/21/2024,"The facilities are fine. The check in staff at the checkin time is ok. When you reach the boarding gate, they will make you stand in a queue for an unnecessary check to tick the boarding pass with their pen and then make you wait again. The staff at this check point has already interviewed you at the check in counter. They have a rude behaviour and tone and not friendly at all.",NEGATIVE
Accra Kotoka,airport,M Addo,6/4/2022,"Corruption Central. Its funny that Kotoko airport has an announcement stating that it doesn't condone the extortion of customers, however does not provide any means of complaints and its scary to complain to the members of staff as they may also try to extort you. Got stopped by the security at the exit on my arrival wanting to know what was in my bag and after finding out there was nothing of worthwhile value they then asked if I could ""bless a brother"". On my return, then got stopped for another ""blessing"" by an immigration officer. Honestly, for such a beautiful airport it downgrades the whole airport and does not send out an inviting message.",NEGATIVE
Accra Kotoka,airport,B Triplett,12/13/2021,"This airport, is structurally nice and clean! That's the best part. The staff are super rude, bossy, constantly looking for someone to move or push or tell to do something irrelevant to getting people where they need to go. The instructions received are short and rude! The systems and procedures are non existing, numerous people checking and rechecked and scribbling on your ticket. I had my passport, covid, and boarding pass checked 10 times after security and sitting at the gate, it's not even possible to get to the gate without all of those having been checked?",NEGATIVE
Accra Kotoka,airport,H Steensen,8/20/2021,"The airport with the worst business class lounges and partly very corrupt staff. No possibilities to sit in certain areas where it would be a must to have the opportunity. Finding your way within the airport is very difficult, not enough signs to find what you are looking for. Some of the staff is ignorant and arrogant, providing bad service.",NEGATIVE
Accra Kotoka,airport,Ama Afari,7/16/2021,"Warning to other travellers using Kotoka airport drop off. There's a deliberate system of entrapment. We arrived at the airport to drop off my friend who was travelling. As she had to pick up a copy of her Covid test result we dropped her off and was told by one of the staff that we should rather drive around to the other side by the bus stop. We drove around the area waiting for her to call us that she was ready so we could drive her to the new side of the airport to catch her flight. When she was ready, we drove to the side of the road (near the bus stop) where the staff member told us to go to. Another member of staff then proceeded to stand by the car, said you can't pick up here and called over two other men who put a clamp on our wheel. This happened in the space of less than 30 seconds. We were shocked of course and told them she would be late for her flight to which he responded he doesn't care. They demanded we pay 150 cedis. While we were talking to the men, several cars parked in the same spot and picked up passengers. We asked why their cars weren't being clamped too. They stood by and let these cars pick up and drive off. They continued to refuse to unclamp our car. We paid the 150 cedis because we didn't want our friend to miss her flight. The attendant then tried to refuse to give us a receipt for the fine we just paid which led to more arguing. During this time one of the attendants used his hand to push our brother who then pushed him back. Us ladies had to stand between the men to stop them physically fighting. He obviously wanted to pocket the cash. We dropped our friend and enquired with other airport staff where the main office is for the enforcers. We spoke to two men  at the office who said they were supervisors. They listened to our story and I showed them the video clip. They didn't offer any assistance except to say we should come back tomorrow morning to speak to the general manager. Looks like everyone there is probably taking a portion of the money from this operation they have going on. As a Ghanaian, I feel the corruption here (from the top down) is too widespread, preventing our country from improving.",NEGATIVE
