review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_classification
Srinagar,airport,V Gainey,2006-10-04,On the understanding that Srinagar being the capital of Indian administered Kashmir is at the centre of one of longest running conflicts in the world then one should expect a particularly unique experience regarding airport security Srinagar airport in this respect does not disappoint On arrival on Jet Airways from Delhi one is immediately struck by the fact that this is a military airfield masquerading as a civilian airport MiG fighters and helicopter gunships abound at the far end of the airfield and all buildings are camoflauge painted The odd civilian Boening looks incongruous For arriving foreigners you are accosted by a security official fairly politely it must be said to fill in a long registration document He then accompanies you out of the arrival and baggage collection hall on a dirt track to the carpark to ensure you are being met by whoever you had claimed you were on the form Only then can you be on your way If you are not being met I am not sure what your fate would be Departure though is an object lesson in airport security The first hurdle is a kilometer or so before the airport terminal where you are stopped at a roadblock and put your luggage through an xray machine Entering the airport and only passengers are allowed not guests or friends you again put bags through another xray sceeening Then you are allowed to go to check in after which you must as a foreigner fill out another lengthy departure registration form for the police No hand luggage whatsoever is allowed on Delhi bound flights so all you can carry is what you can fit in your pockets therefore travel with a multipocket vest or similar to maximise carry on potential Hand carried clear plastic water bottles do suprisingly seem OK though to carry on The waiting area after check in is basic but OK as long as you dont mind being stared at suspiciously by numerous armed army and poice men Then there is another long queue for a more detailed security check which involves turning out all pockets and being individually scanned Finally you are through to the actual departure area but this is not the end After being released to go out on foot to your waiting Boeing you again go through another security check all pockets and a patdown before eventually you board the plane Great views of the Himalayas to the north on the flight out but since cameras are not allowed on board the memories stay in your mind and not on film,0.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
La Guardia,airport,2 reviewsN Vail,2022-08-25,The new Delta Terminal C is elegant convenient and modern Restaurants gate areas and restrooms were all immaculate Checkin went smoothly Keep it up,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Kota Kinabalu,airport,P Cairnduff,2020-11-11,Honeymooning in various resorts in Borneo so visited Kota Kinabalu several times during our trip Check in area busy and crowded and Air Asia check in process a bit confusing but staff very kindly helped us out Rest of airport very well laid out and signage very helpful with ample seating at boarding gates,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sunan Pyongyang,airport,Martin Borland,2012-12-28,The airport was not busy when we arrived but this did not stop it taking minutes to pass through immigration and collect bags Facilities are what you expect from an airport about years out of date and did not expect anything different I guess Found the staff to be unfriendly and there were no painted on smiles available here,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Port Moresby,airport,K Joseph,2010-01-14,Arriving late at night from Brisbane on a delayed flight we were quickly off the plane and through customs without a long delay for baggage but remember PGK for a visitors visa Security is fairly tight due to the general problems of PNG and only passengers with tickets are allowed into the terminals The domestic terminal is somewhat more crowded and more confusing with limited facilities but is relatively clean Returning from outside POM you may well find that there is no international baggage transfer you need to walk the three hundred or so metres between the terminals with your baggage but it is a covered walkway with lots of security staff everywhere After checkin there is then a wait with few available chairs until customs is opened about an hour before the flight Once through things go fairly smoothly though there is not much airside apart from the small Air Niugini lounge which is pleasant enough For the size of Port Moresby a reasonable enough experience though more seating would be good,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Mexico City,airport,1 reviewsJ Lansen,2023-01-14,Unhelpful Disorganized Was on a layover from Amsterdam to Toronto Canada I arrived through KLM airlines but my luggage didnt When I asked about my luggage the luggage staff said they transferred it to my next flight which they dont do and my itinerary said baggage not checked through When I left luggage collection and went to the check in area I asked a staff member if they could confirm it was sent through and they said with certainty that they would not have transferred my luggage and to go check again I went back to check again but security would not let me back into the luggage area I told them the story and without even looking at my flight itinerary said it was transferred to my next flight I had no contact with this security officer before nor did they know anything about my situation prior Now to be clear its almost certain that KLM lost my luggage and its not the luggage handlers problem But for them to just lie about it to get rid of me is unacceptable They could have said it appears it didnt arrive and thats fine I cant blame them for that But I just essentially went back and forth between people in the airport not knowing who was telling the truth or who knows what theyre talking about I dont expect Mexico City airport to be the best airport in the world but to be an international airport that essentially has no centralized information center and to have employees who just lie to get rid of you is really unacceptable Im sure they dont get paid the most and I get that,2.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Manado,airport,David Zheng,2014-10-22,Arriving in Manado from Singapore by SilkAir is always a good experience The greenery around the airport was beautiful and the short walk less than minutes from the plane to the immigration counter is a relief compared to the minute walk I used to have in Changi when rushing from immigration to the gate The terminal building is quite clean and adequate The only downside is the crowd outside the arriving gate exit There were lots of illegal taxis touting arriving passengers The lack of seating area outside the terminal is also a concern as it was hard to find a proper place to sit while waiting for someone to arrive,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Yemenia,airline,Ian Howarth,2011-04-25,SanaaParis on A Ontime departure in spite of elaborate boarding procedures All pax bussed to aircraft Inflight fine choice of meal and range of nonalcoholic drinks Cabin crew courteous with passable English Economy cabin looked a real mess after meal service not cleaned Limited inflight entertainment,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Melbourne Avalon,airport,Murray Furlong,2019-11-25,I flew AirAsia into here from Kuala Lumpar A friendly and efficient airport the connecting bus had me in Melbourne in about the same time as to Tullamarine as there was no jerking about,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Tashkent,airport,15 reviewsT Pearce,2024-11-06,International Arrival at Tashkent is fine Bus from plane to terminal Very quick and smooth passport control no landing card needed no forms to fill in Baggage Reclaim was slow for some reason Money Exchange in Baggage Reclaim Hall along with local mobile SIM Cards Baggage Xray and then walk in fenced off compound to where taxis and buses await the usual scrum of offers of taxi etc Domestic Departures in separate building which is older Xray and show ticketETicket to get in then Checkin desks Security scanning of hand luggage basic water is allowed to go through Departure Hall has gates for bus loading of planes There is a small cafe serving drinkssnacks and seats International Departures is in a separate building scanned to get in and lots of Checkin Desks Only Money Exchange that was reluctant to exchange Uzbek Soms but did so very important as there is nowhere to do so after passport control Checkin show as no online checkin everyone has to checkin to get a Boarding Pass Passport Control quite quick and Security OK International Departures has a mix of shops selling local items and usual big brand alcholcigarettes price in USD or EUR prices OK A few cafes that were priced in local currency Euros or US Dollars Many departure screens and quite a lot of seating Only a couple of air bridges so most planes land on remote stands served by buses,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Hangzhou,airport,1 reviewsA Usman,2017-01-15,Landed at Hangzhou Airport around using AirAsia X from Kuala Lumpur Immigration clearance was smooth and no hassle I claimed my luggage in just a few minutes Washroom services are as good as other airports in China The only lacking is the number of available seats on the departure floor at the checkin counters area,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sydney,airport,Gary Charsley,2025-01-22,Was not impressed with food service and attitude Ordered glasses of wine at Mike Kitchen Charge AUS Is this reasonable Can get bottles for this price Was then told could not take wine into food court where we wanted to get something to eat Could not get food at Mikes Kitchen as kitchen was going to close in minutes Was not permitted to bring food from another outlet to have with my wine Shortly after wine was served was asked to hurry up as premises was about to close We were not advised hen purchasing wine that we would have to hurry up and drink Do not use Mikes Kitchen And then in a rush to buy food went to KFC where the very young staff had no interest in serving me and I was then told that most menu choices were unavailable and only zinger burgers were on sale My wife does not eat any spicy food Will avoid Sydney Airport on future visits to Australia or bring my own sandwiches and but wine in duty free Sadly spoilt an otherwise great visit to Australia,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Faro,airport,William Sterry,2024-08-30,Awful airport On arrival was very smooth to be fair but the passport control queue was horrendous for those with UK passports and no accessibility and on departure despite wearing the sunflower lanyard and having booked fast track I was declined at fast track and made to queue for security and with my disabilities I struggle with long queuing The departure hall was very busy and hot with not many places to sit I had a great holiday in the Algarve but it was tarnished by the atrocity that is Faro Airport on a positive note however the toilets were very clean,1.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Rossiya Airlines,airline,4 reviewsS Palela,2019-01-03,Moscow to Bangkok Rossiya fly some of Aeroflots long haul flights with exEtihad Boeing s Their concept is strange They still have an old personal entertainment system but it only gives you a route map Really Instead they have an inflight wifisystem but to be able to use it you need to download Rossiya app before the flight wifi is only for the system its not connected to the WWW They do not have power sockets is economy class and remember your own headphones as well Our flight was on time No complains Food was ok nothing fancy They serve you two free meals with basic drinks no alcohol This will keep your belly full all flight Ive used many airlines and I have no complaints about Rossiya Ticket was cheap plane was comfy and clean flight was on time service was ok basic Russian style and they didnt lose our bags Good value Just remember what i told you about the entertainment system,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Buta Airways,airline,14 reviewsY Darnaev,2019-08-02,Kazan to Baku Its not really a low cost airline because the cost is not low and quality is even lower than a usual lowcost But I had no choice Hand luggage is not included it is made clear on their website But the problem is that you cant pay for the hand luggage on their website you have to pay at checkin counter And they force you to pay in different currency using their crazy exchange rate so you will overpay for it a lot The reason as they explained it it is because they need to check your bag size and weight to see if it will fit Cant they allow to pay for it online and deal with overweight bags at the airport for extra cost My bag was within the limits but I had to pay more Surprisingly seats were pretty comfortable and spacious enough for tall people They even gave a free sandwich But teacoffee was not free Anyway I cant recommend to fly with Buta,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Small Planet Airlines,airline,Sally Mitchell,2017-07-21,Gatwick to Preveza return with Small Planet Airlines Our flights both ways could not have been any smoother and the experience was faultless I didnt try the food so unable to comment but all the staff were friendly and attentive Would use again,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Afriqiyah Airways,airline,T Helden,2010-12-23,BRUJNBBRU with a stopover in Tripoli There were some troubles with the inflight entertainment On our way to JNB there were not enough headsets so we couldnt use the inflight entertainment On our way back from JNB to Tripoli the inflight entertainment in our part of the plane didnt work at all The food was okay and the cabin crew friendly Its definitely value for money but there are some things to improve,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Tigerair Australia,airline,Salman Shami,2020-03-17,I flew one way from Melbourne to Canberra I paid extra for more leg room and extra for priority boarding It came to The flight left on time and arrived on time The seat was comfortable The staff were courteous Based on my experience I wouldnt hesitate to fly with this airline again,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Cebu,airport,2 reviewsC Worbel,2020-03-18,I was impressed by the cleanliness and orderliness of this airport Even the porters and staff act professionally Big space check in counters not cramped You dont have the feeling that youll be harassed nor cheated Considering this airport on my future flights,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
SyrianAir,airline,T Lloyd,2009-11-25,I tried to arrange a group trip with SyrianAir from London to Aleppo via Damascus and back Initially all was fine until they cancelled the first leg of the journey to Damascus a week prior to us leaving The next flight was days later but there was no immediate plane to Aleppo once we had arrived at Damascus which meant we would have to take a bus up instead a journey we werent too keen on While friendly the staff are fairly useless and I sat for MANY hours trying to sort things out We changed the flights to stay the same number of days but decided to go to Aleppo at the tail end of the trip under our own steam and the fly Allepo to London again via Damascus on the same ticket Unfortunately the staff didnt really get the group concept and kept issuing tickets for the wrong dates for different members of the group It took too many visits to their offices in Baker Street to finally get everyone on the same flights at the same time The flight to Syria was fine late and we managed to get up to Aleppo ourselves but the day before we were to fly out again we went into the Syrian air offices to confirm everything was ok IT WAS NOT They had cancelled the flight to Damascus without informing any of us and we had to arrange a midnight bus from Aleppo to Damascus Airport to make the correct flight back to London Luckily this one hadnt been cancelled But it was late My advice Dont Fly SyrianAir and if you do check on your flights constantly,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Hong Kong Airlines,airline,Daniel Chow,2023-04-25,The crew were extremely nice the flight was about hours and hours for the flight back to Hong Kong The flight was really smooth Props to the pilots The food was light and average The drinks were cool the in flight entertainment was out of service but pretty sure the airline is on a budget Warning that the ticket only includes kg of luggage to take on the plane and have to pay individually for luggage in cargo hold kg round trip more than HKD Seat was alright had decent recline trying to avoid flying with Hong Kong Airlines until maybe a few years later when they earn some money back Overall above average flight,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
NokScoot,airline,R Ward,2019-10-20,Bangkok to Osaka Smooth check in and efficient seat allocation They didnt check cabin baggage weight nor size Had to buy food and drinks as refused internet preorder because we used a travel agent Seats ok but a night flight which was very uncomfortable Saw in the inflight magazine we could upgrade enroute to premium economy a good idea For B a good flight,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Antigua Vc Bird,airport,Steve Tait,2016-03-24,This is a brand new terminal that opened just about nine months ago It is very well designed spacious light filled and comfortable with a limited yet sufficient number of traveler facilities Immigration both coming in and departing was quick and easy My only gripe is with the terminal and gate announcement system Every announcement in the airport even at the gate was totally garbled and not understandable There is something horribly wrong with the announcement system which really needs some immediate attention,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Jersey,airport,D Saberton,2023-09-19,Airport on Arrival no problem We hired a car and having found the car hire desk we were directed to the car pick up point which turned out to be a considerable distance away No shuttle service You just have to leg it If it had been raining we would have been soaked Cant imagine what it must be like for people in wheelchairs or families with pushchairs plus luggage Car hire needs to be closer to the terminal or shuttle service provided Departure was not good We had to leave our bags to be scanned go to the other side for Security check which meant leaving our bags and personal belongings unattended When called for our flight we were herded into a holding pen not enough seats stood for minutes while members of staff called out peoples names to re check their flight details this was done in a very unfriendly and unapologetic manner Took the shine off what had otherwise been a very pleasant trip to this beautiful island,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Newquay,airport,P Davids,2018-06-09,Recently travelled with a broken ankle The staff were very helpful getting me on and off the plane The special waiting area was a nice touch because I was scared of getting knocked by other passengers,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Clark,airport,4 reviewsPierluigi Sossi,2016-01-30,Modern airport and very efficient Upon arrival by taxi one of the porters thoughtfully brought a cart for the luggage Checkin area wide and modern No queue at check in airport security or even for payment of airport charges Gate area very clean and equipped with a wide selection of dining options The view of the imposing Mount Pinatubo is something unique,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Mihin Lanka,airline,Jayanta Biswas,2016-10-17,Kolkata to Colombo Average aircraft no IFE available Legroom is less but seat width is satisfactory Crew was quite active throughout the hour flight Announcements were clear and audible Restrooms were clean but only the rear restroom was allowed for the economy class passengers Boarding was smooth Food served was scanty but then it was a flight at am so no one was really hungry,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Tashkent,airport,J Edlow,2017-09-21,Tashkent Airport has become very efficient on the international side Immigration and customs both on the way in and on departure were quite user friendly Not a lot of shops and restaurants but that was not inconvenient Readers should be aware that the domestic terminal is on the other side of the runway and it could take up to minutes to connect from one side to the other side using a taxi,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nice,airport,Judith Burnham,2024-06-22,Worst Airport in the world arrived to check in then security on baggage Then Passport machine thought great all good Walked through Duty Free then a mile long queue to get through to B gate BA is B gate Poor shops nobody could shop or eat unless you had got their hours early This queue apparently is normal and is called the new fast track what a joke One person in a box checking passports again Run to B hundreds of people standing there no way could you board in Groups just a free for all Again with one woman at the gate before you got on the coach to the plane still coaching you out to the plane She was checking everyones passport again Why havent they upgraded this system by now and built satellite gates off the main airport Not going back there,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Corsair,airline,Isabelle Keil,2020-01-20,Paris Orly to PointePitre Overall good experience decent food friendly service on the inbound flight Outbound all of the crew disappeared at night difficult to get something to drink Some security concerns upon landing in Paris Crew didnt check the cabin at alltwo teens sleeping in lie flat position until touchdown No one to wake them up no one to remind them to put their seat in an upright position never saw that before Seats are ok but angled lie flat,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Small Planet Airlines,airline,K Nijman,2017-09-30,Amsterdam to Heraklion Low cost budget airline in our case chartered by Neckermann Tickets were very cheap but the service not Good service departure on time friendly personnel Seating tight but thats the trade off for cheap tickets Airplane registered in Germany so safety and maintenance should be ok We had no issues whatsoever,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
SriLankan Airlines,airline,K Davids,2024-10-06,I recently flew UL with family from MELCMBMEL return Given the many negative reviews seen here I was expecting a very poor product But to be honest I was pleasantly surprised Of course there is certainly room for improvement the seats could be more comfortable upholstery needs to be changed arms loose or broken needs an overall clean At times the quality of annoucements were not the best Boarding in CMB was a bit disorganised considering the flights were very full on both sectors But the IFE system for me and everyone around me was working in both sectors many reviewers here are complaining about it not working A decent selection of movies TV and music Good head sets Food was average airline food cant complain Cabin service was very professional helpful efficient and attentive Bagage was delivered to belt on time Checkin at both ends was OK Will definitely consider again I got what I paid for For those complaining please pay more and choose another airline,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Accra Kotoka,airport,13 reviewsAlain Kupferman,2017-01-30,Old airport but reconstruction going on Very efficient immigration on the way in with separate lane for business class Fast delivery of luggage as well took me less than minutes to be out of the airport Departure wise a little bit slower but acceptable friendly immigration and security people very basic business lounge Departure procedure efficient despite lack of discipline of Chinese passengers always trying to jump queues,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Townsville,airport,Chris McQuaid,2012-08-30,Comfortable and clean provincial airport Didnt use any facilities other than the toilets which were clean and tidy Only real criticism is lack of seats at the gates I was on a full A flight to Brisbane and there were only seats for about passengers There is also no segregation of incoming and outgoing passengers the former have to weave their way through those people waiting to board Passengers seated in the rear half of the cabin were requested to go down stairs across the tarmac then up stairs to the rear door of the aircraft However by the time I reached the front of the queue the outside doors had been locked so I had to fight my way through the whole length of the aircraft cabin,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Kinshasa,airport,Jeff Peires,2011-07-31,Getting into Kinshasa is quite OK getting out is something else The airlines dontcant have their own staff at the terminal all the flights Kenya South African Ethiopian are handled by the same slow and unfriendly personnel There is now an official exit tax of plus a couple of minor unofficial ones Airport is gloomy very little seating nothing to do except worry about what is going to happen next VIP exit lounge while hardly Heathrow is clean and bright and you get a free drink well worth the extra Even if you speak French dont even contemplate going to Kinshasa unless your hosthotel sends a protocol to meet you at the airport and escort you out Be sure to stock up with US bills for unofficial taxes they wont take less and they dont expect more On a more positive note it is irritating rather than frightening and once youre through the airport everybody is pleasant and everything is fine,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Philadelphia,airport,7 reviewsM Galena,2025-02-18,I fly in and out of Philadelphia International Airport twice a week from Terminals B and C and I have nothing to complain about The layout is welldesigned making navigation easy and there are plenty of food and shopping options Security lines are usually efficient and the overall experience is smooth As a frequent traveler I know what bad airports look like and PHL is definitely not one of them Its a great airport that provides a convenient and pleasant journey every time,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Easyfly,airline,E Scott,2022-03-24,We flew EasyFly from Medellin EOH to Pereira When we checked in online we discovered theyd moved the flight minutes later This wasnt a problem for us and we checked in online without problem Check in at the airport was quick and we had no issues with bags one was slightly over kg one was under and we didnt get charged The flight was on time and upon arrival in PEI the bags were on the belt immediately The plane was clean and seemed fairly new It was impossible to buy a ticket from the US with a US credit card on their website however we were finally able to buy a ticket online using a Colombian travel agency Aviatur We had no problems and were pleased we chose EasyFly,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Colombo,airport,Patrick Gold,2023-06-06,Frequented CMB many times in the last decade and on the whole its ok It runs pretty smoothly and in fact has improved over the years the immigration particularly seems quicker I do however hate the exorbitant dollar priced fooddrink and duty free etc The contrast between what this cost just outside the door or the airport and the terminal prices must be one of the biggest contrasts in the world That said its a pretty painless experience to pass through,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Washington Dulles,airport,52 reviewsMahmud Noormohamed,2024-07-16,This is a very large and well maintained airport located in Virginia Given the size of this airport with its main terminal and then midfield terminals give yourself plenty of time to get to your gates especially the midfield terminals On arrival I had to take the mobile lounges to the main terminal The mobile lounges have frequent service from midfield terminal to main terminal No more than a min wait Restrooms in baggage claim are were very clean Departure was from Terminal C which necessitated using the labyrinth of escalators to get to the AeroTrains which run underground When I lived in Centreville VA Dulles was my airport of choice over Reagan National,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Seoul Incheon,airport,Y Kim,2024-12-02,Incheon Airport generally has a nice and clean layout making navigation straightforward However my experience today at Security Lane was quite disappointing Out of the three passport scanner machines only one was operational causing severe delays I joined the queue at PM and only cleared security at PM taking over hour and minutes to get through For an airport of this reputation such inefficiency was unexpected Thankfully I had arrived early for my PM flight or I might have missed it While the rest of the airport experience is great the management should urgently address such issues,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Aberdeen,airport,C Hurley,2022-05-27,The security staff at Aberdeen airport are not up to standard Many of them are aggressive and argumentative and their main aim is not to be friendly or courteous I have been fortunate enough to travel to many countries and I say without hesitation that the security staff at Aberdeen airport are either the most poorly trained that I have encountered or that they are paying no attention to the training they receive The management team needs to review the training of the security staff at Aberdeen airport urgently,2.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sydney,airport,Gary Charsley,2025-01-22,Was not impressed with food service and attitude Ordered glasses of wine at Mike Kitchen Charge AUS Is this reasonable Can get bottles for this price Was then told could not take wine into food court where we wanted to get something to eat Could not get food at Mikes Kitchen as kitchen was going to close in minutes Was not permitted to bring food from another outlet to have with my wine Shortly after wine was served was asked to hurry up as premises was about to close We were not advised hen purchasing wine that we would have to hurry up and drink Do not use Mikes Kitchen And then in a rush to buy food went to KFC where the very young staff had no interest in serving me and I was then told that most menu choices were unavailable and only zinger burgers were on sale My wife does not eat any spicy food Will avoid Sydney Airport on future visits to Australia or bring my own sandwiches and but wine in duty free Sadly spoilt an otherwise great visit to Australia,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Yemenia,airline,Ian Howarth,2011-04-25,SanaaParis on A Ontime departure in spite of elaborate boarding procedures All pax bussed to aircraft Inflight fine choice of meal and range of nonalcoholic drinks Cabin crew courteous with passable English Economy cabin looked a real mess after meal service not cleaned Limited inflight entertainment,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Philadelphia,airport,Thomas Hayes,2024-08-31,I was subjected to a very intimate search three times by two different TSA agents The scanner was obviously malfunctioning How do I know Well I was clean but it kept saying I wasnt Then walking on the tarmac to the plane a baggage handler insisted that I had to valet my carryon bag Once inside seeing the mostly empty luggage bays I complained to the flight attendant She went and brought the bag to me with apologies Arrival was okay but the I had to follow a bread crumb trail of corridor stairs and turns all with inadequate signage Eventually I arrived at two luggage bays and was at first relieved to see my flight posted as unloading But it turned out that we did not get our luggage in hand for hr mins No information from the uncommunicative employee in the Baggage Office She said they were trying to find the agent to see if he has any more bags Im being generous here She told me to scan a lost baggage claim code which did not work,1.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Kansai International,airport,Jan Smidt,2023-08-06,Friendly and fast service Enough toilets seats and bins But shops close early and have a extremely poor selection in duty free If you want anything make sure you get it before coming to the airport,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Air Cairo,airline,W Steyne,2023-11-23,I flew with my husband from Sharm El Sheikh to Cairo to see the pyramids and Egyptian Museum with a return flight to Sharm three days later The flight took off on time the cabin crew were friendly and the seats were comfortable Unfortunately my husband was taken ill in Cairo and I decided we needed to return to the UK I cancelled our return flight on the morning we were due to fly back to Sharm The money was in my bank two days later I would fly Air Cairo again,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Banjul,airport,Nigel Stacey,2010-05-29,I have been travelling to the Gambia for six years now and have seen alot of changes at the airport over the years Security are very friendly people You can even sit out in the open and have a drink and a bite to eat and watch your plane land,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
