review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_classification
Zagreb,airport,13 reviewsS Xu,2022-05-18,Zagreb Airport is a small but clean airport The airport staff were generally friendly helpful and efficient Moderate queuing time Seating area was a bit crowded during busy hours and lacking charging sockets around seats Fast and free WiFi,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Afriqiyah Airways,airline,C Grant,2010-02-15,CDGTIPOUA out ABJTIPCDG return Excellent flight to TIP clean new A with good food and friendly staff Flight to OUA similarly well presented Unfortunately the flight from ABJTIP was operated by Nouvelair on Afriqiyahs behalf other passengers also noticed the difference with grumpy staff and terrible food Happy to return to CDG with Afriqiyah again and more good service,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Waterford,airport,Brian Murphy,2006-10-01,What a lovely little airport Check in staff very helpful top security must say and very good information desk Pity about the facilitiess and layout of the airport despite the levy charge Fast punctual service and with a smile,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Tallin,airport,A Nathan,2023-07-14,Delightful little airport with helpful staff unique concepts of design and little corners of comfort everywhere There are games for children Caf was like a living room and I enjoyed my experience in this sparkling clean airport,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Kualanamu,airport,1 reviewsPaskalis Ginting,2017-07-18,Kualanamu airport is very good Check in counters are good the waiting room is comfortable and clean But the toilets are not too clean but no problem The airport staff are good,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bandung,airport,Henri Bemelmans,2018-05-20,Not Verified The new airport is much better than the old but the issue with taxis remains The military controls the airport and hence which taxis are used No meters and extortionate fares Better off walking minutes south on road outside arrivals right angle to airport terminal and pickup a bluebird or AA cab from there Clean and metered Pity the Government does not stop in and do something about this as it is a horrible welcome to what is otherwise a friendly and interesting city and region,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Fort Myers,airport,Karen Sanses,2020-02-09,Small airport clean and friendly staff However they have horrible wifi Make sure you have a good data plan if you have to sit for a while for your flight,5.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Kiev Zhulyany,airport,Linke Klaus-Dieter,2013-06-10,Since Zhulyany Airport had opened the new Terminal I have flown times from there Everything was nice clean and efficient and friendly service I really can recommend this airport to be used for a visit in Kiev,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Uganda Airlines,airline,Pat Hyland,2024-07-06,The whole experience was very professional Flight was completely comfortable clean and the air crew were friendly and helpful The flight was on time and the in flight service was just excellent for such a short flight,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Jersey,airport,C Ranger,2019-09-22,Bar and restaurant staff appeared to be totally fed up and disinterested in their job Could do a lot better Rest of the airport was fine and very clean,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Port Au Prince,airport,M Lydecker,2014-10-22,I traveled with people from NYC We entered the airport and had no problems coming in Pretty fast service with immigration and getting our bags Outside was rather chaotic Too many men standing around to carry bags They should control them better maybe like cabs take turns as requested On the way out we found the airport entrance very clear Our bus pulled up and emptied better than it could in JFK It was comforting to see the UN security team right outside The building was well air conditioned which was great The ticketing area was easily accessible We found that there was a ton of security checks not sure why as it seemed to be for baggage mostly We had our IDs checked times and our bags screened twice We were told at the ticket area that once inside there were no rest rooms That was not completely true There is a rest room area inside TSA but before the final jetBlue secure gate area baggage screening Also the signs for the duty free shop inside could have been betterhigher to see Overall it was not horrible but just a little cramped in feeling and the double check of the bags while offering a feeling of security sent red flags up as to why they were doing that It seemed like a jetBlue thing as Spirit did not do that Also the place was clean,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Algiers,airport,Mohamed Salah,2011-07-27,Good airport international terminal T is nice spacious clean The only problem I see is the fact that the interdiction of smoking is not always respected,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Cascais,airport,25 reviewsAngelo Menezes,2019-05-04,A very nice small airport with all that is needed except a coffee shop if I remember correctly Access is easy and clear the terminal clean and there is free parking,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Hong Kong,airport,Yu-Hsiu Chang,2023-11-01,It is clean modern and spacious Employees are friendly and helpful Goods in the shops are bountiful and various Signposts are clear WiFi connection is stable,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Detroit,airport,Michelle Prephan,2023-07-14,Detroit Metro is always clean convenient and well maintained Staff is usually pleasant and helpful We travel through DTW about times per year and we have always had a positive experience,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Fort Myers,airport,Karen Sanses,2020-02-09,Small airport clean and friendly staff However they have horrible wifi Make sure you have a good data plan if you have to sit for a while for your flight,5.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Orient Thai Airlines,airline,M Sun,2012-11-01,HKGBKK I booked with them because it was the only airline available Check in took hr in HKG and plane was a year old B Entertainment was pretty much nothing and seats were the most uncomfortable Ive ever experienced Plane and bathroom were unclean I booked a seat in the upper deck and it was quiet Food was horrible Only good thing was the value because I you pretty much get everything for that cheap price,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Malta,airport,Glenn Ruffell,2019-08-04,Passenger assistance is the best we have experienced very polite helpful and well organised thank you very much airport clean good to see it as drinking water fountain also impressed free bottles of water on arrival on inbound flight,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Doha,airport,Prajakta Bapat,2019-10-29,It is one of the best airports in the world An absolute architectural beauty The facilities at the airport are top class There are variety of shops at the duty free The security and cleanliness of the airport is mindblowing,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Blue Islands,airline,M A Collie,2023-11-01,Comfortable enough flight which was fairly on time We were surprised that there was no catering on this flight of about hours Only took hand baggage,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Xi'an,airport,Angelo Menezes,2018-11-12,Small airport which makes everything easier But going through security was a hassle with lines nothing compared to Beijing though Dont expect much of it given the size Very clean,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nassau,airport,Simon Rodehn,2016-07-24,This place is clean and efficient Lots of room and well staffed airport Both the internationaldomestic terminal and the USA pre clearance terminals are modern and the lines are usually moving very quickly US Customs is exceptionally efficient and considering the volume of persons traveling the process is smooth and the staff is excellent and friendly US citizens get to experience an even smoother passage with the automated terminals Just make sure you follow all the rules because some of them might seem unnecessary but if you have had a big win at the casino declare it or loose it after a night in a terrible local lock up and a visit to a magistrate back in town the next day if it is not a Friday,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Air Montenegro,airline,Georgios Vrontos,2024-03-26,Clean airplane departed on time Crew were professional and friendly Good announcement from the pilot Offered a cookie and a bottle of water No in flight magazine,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Volotea,airline,M Barton,2025-04-05,It was a really nice flight friendly people started on time and regular updates from the crew The airplane itself was very clean and entertainment on board was provided,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Port Au Prince,airport,M Lydecker,2014-10-22,I traveled with people from NYC We entered the airport and had no problems coming in Pretty fast service with immigration and getting our bags Outside was rather chaotic Too many men standing around to carry bags They should control them better maybe like cabs take turns as requested On the way out we found the airport entrance very clear Our bus pulled up and emptied better than it could in JFK It was comforting to see the UN security team right outside The building was well air conditioned which was great The ticketing area was easily accessible We found that there was a ton of security checks not sure why as it seemed to be for baggage mostly We had our IDs checked times and our bags screened twice We were told at the ticket area that once inside there were no rest rooms That was not completely true There is a rest room area inside TSA but before the final jetBlue secure gate area baggage screening Also the signs for the duty free shop inside could have been betterhigher to see Overall it was not horrible but just a little cramped in feeling and the double check of the bags while offering a feeling of security sent red flags up as to why they were doing that It seemed like a jetBlue thing as Spirit did not do that Also the place was clean,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
SATA International,airline,M Warlen,2022-04-01,On time departure Excellent value and they gave a meal on a hour flight We arrived mins early Staff was professional Bags delivered in a normal amount of time,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Privilege Style,airline,Robert Dullighan,2019-09-29,CAA replacement for Thomas Cook flight repatriation back to the UK after firms collapse Staff were excellent plane a little dated but clean and spacious also under subscribed Comfortable great service thank you all,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Port Moresby,airport,H Horas,2016-01-15,Domestic arrival was good canteen facilities are reasonably priced Toilet was clean in arrival hall International departure money exchange facilities available The security check was not particularly friendly boarding was smooth via gate with Virgin Australia using an air bridge,2.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Air Koryo,airline,2 reviewsM Kitson,2017-06-27,Everything went smooth from Pyongyang to Beijing Checkin staff were friendly Seats were comfortable Inflight entertainment could have been better Food and drinks decent enough,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Orient Thai Airlines,airline,Paul Burnell,2013-07-24,Flying from Chiang Mai to Bangkok regularly I find Orient Thai very punctual friendly and the best value available without question,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Varna,airport,Meyer Burglind,2015-10-30,The airport is new modern and colorful Everywhere is clean There are nice looking green areas with flowers and trees outside The employees were polite and smiling,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nordavia,airline,2 reviewsDmitrii Egorov,2018-10-18,Saint Petersburg to Samara The airline is very good The cabin is clean and comfortable and with this always promised food and friendly staff As for the baggage allowance things are even better the baggage allowance is kilograms,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bourgas,airport,Deborah Critchley,2019-08-06,I have to say I found the staff exceptionally helpful My dad requires special assistance and the staff were prompt understanding and efficient and could not do enough for him The airport is clean and obviously busy,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Fukuoka,airport,2 reviewsK Marsek,2023-12-18,Small but good airport the usual Japanese quality clean efficient good staff Places to shop and eat and have lots of charging spots Its so convenient to reach from the city center,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Air Nostrum,airline,B Jonas,2020-02-16,Madrid to Toulouse Once again a punctual and comfortable flight Good legroom on time departure and arrival On flight entertainment was however not working you have to pay for anything on board,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Xiamen,airport,Yu-Hsiu Chang,2024-03-18,The size is not big Passengers can walk around easily Signposts are clear Employees are friendly and helpful The efficiency of the immigration is good It is clean and modern,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
SmartLynx Airlines,airline,Goran Forss,2023-07-11,I read terrible reviews and I was a bit concerned before boarding todays flight July at However we had a great experience The A was just fine and the service was impeccable They did not speak Swedish but that was not an issue The one hour flight was excellent and the Captain calm and absolutely no issues No inflight entertainment but it was just an hour flight We were min late taking off from Stockholm Arlanda but we were on time coming into Lulea Kallax We loved the service and that the two attendants in the front was always smiling and very accommodating Loved the fact that the staff and pilots greeted us as we left the plane,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Trivandrum,airport,Karl Moosbrugger,2013-04-14,Domestic terminal is easy to use not much going on and no crowds or wait times It has sufficient seating capabilities but restaurant and shopping options are fairly limited But it serves its purpose is reasonably clean and convenient,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Baku,airport,Mohamed Roshan Arakkal,2018-09-17,Free WiFi cleanliness and planning are good Queue for security and immigration took around minutes Should deploy more staff for this purposes Restaurants after check in are less and with no good choice,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Rotterdam,airport,Manuel Fernandez,2007-11-23,Good shopping for such a small airport Clean and clear Cheap car parking compared with Schiphol When arriving plane parked in front of terminal and was outside the building with my checked bag in minutes,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nok Air,airline,81 reviewsRichard Laycock,2024-12-27,A quick hop from Bangkok to Chiang Rai here No frills did the job perfectly left slightly early and arrived well on time Seats comfortable for an hours flight I still love the liveries of the airline,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Borg El Arab,airport,A Mukhtar,2011-08-12,Airport was new and very nice Immigration friendly and welcoming Nice first impression on Egypt upon arrival Washroom need to be cleaned regularly though Other than that its a very nice airport for travellers to Alexandria,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Caribbean Airlines,airline,Morino Ravenberg,2023-06-22,I went to Jamaica for a week on vacation and I have no complaints regarding Caribbean airlines Not the best airline on the planet but theyre definitely by far not the worst they are reasonable and if youre willing to spend a bit more than business class definitely is substantially more comfortable The only drawback that I can think of but that isnt their fault is the fact that on the return trip I had to make four stops in four different countries,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
