review_name,review_type,passenger_name,review_date,review_text,VADER_Sentiment,TextBlob_Sentiment
Abuja,airport,A Cobo,2011-08-08,Abuja international arrivals greets you with a long immigration line. Only one booth is set up to accommodate a complete flight with another booth for dignitaries and diplomats. One can stand for over 1 hour in this line while the immigration clerk scrutinizes your passport and visa. The people are generally nice and polite the airport is clean. AC is mediocre. International departure was crowded and not very comfortable and in most places extremely hot. Food options are limited. Abuja national terminal is another story. Very hot limited seating not so clean limited food options and crowded. There are no flight departure screens. In general an unkempt image.,Negative,Positive
Abuja,airport,C Stafford,2010-01-31,Upon arrival from Amsterdam on KLM I went to use the bathroom and there was no garbage can and no toilet paper. The airport was cleaner than I expected. I think it's better than Lagos actually. Our luggage failed to arrive with us and we were told to come back in 3 days time to pick it up! We weren't going to be anywhere near Abuja in 3 days! We were told later by the airline (after we got back to the US) that they should have delivered it to us. (It was a 6 hour drive one way by the way.) Leaving was a nightmare. They had no record of our changed flight days and had no way of checking with our credit card (we were told that's all we would need to verify our changed dates-a credit card.) We were told to step aside while they helped other passengers. Then we were sent to one person who told us to go to another person etc etc. It took two hours to straighten out the mess and that was only because my husband had to beg the woman to let him use her computer so he could check his email which he was sure would have a confirmation of the change. I will say this particular woman was very professional and willing to do whatever it took to help us. Boarding passes were hand-written. Upon checking our baggage the woman typed in LIM instead of ILM which meant our bags were heading for Lima Peru not Wilmington North Carolina! This screw-up was revealed to us upon arriving in Atlanta. Overall not a good experience with the airport or maybe it was just KLM/Delta. Who knows. I was not impressed.,Negative,Positive
Abuja,airport,S Adewale,2007-03-03,In Nigerian standards relatively clean and organized. However I was bored out of my mind when waiting for my flight because the shopping and entertainment possibilities is nil. Overall and compared to Lagos domestic terminal this airport is paradise on earth.,Positive,Negative
Accra Kotoka,airport,Jacob Thomas,2024-03-21,"The facilities are fine. The check in staff at the checkin time is ok. When you reach the boarding gate, they will make you stand in a queue for an unnecessary check to tick the boarding pass with their pen and then make you wait again. The staff at this check point has already interviewed you at the check in counter. They have a rude behaviour and tone and not friendly at all.",Negative,Positive
Accra Kotoka,airport,Ama Afari,2021-07-16,"Warning to other travellers using Kotoka airport drop off. There's a deliberate system of entrapment. We arrived at the airport to drop off my friend who was travelling. As she had to pick up a copy of her Covid test result we dropped her off and was told by one of the staff that we should rather drive around to the other side by the bus stop. We drove around the area waiting for her to call us that she was ready so we could drive her to the new side of the airport to catch her flight. When she was ready, we drove to the side of the road (near the bus stop) where the staff member told us to go to. Another member of staff then proceeded to stand by the car, said you can't pick up here and called over two other men who put a clamp on our wheel. This happened in the space of less than 30 seconds. We were shocked of course and told them she would be late for her flight to which he responded he doesn't care. They demanded we pay 150 cedis. While we were talking to the men, several cars parked in the same spot and picked up passengers. We asked why their cars weren't being clamped too. They stood by and let these cars pick up and drive off. They continued to refuse to unclamp our car. We paid the 150 cedis because we didn't want our friend to miss her flight. The attendant then tried to refuse to give us a receipt for the fine we just paid which led to more arguing. During this time one of the attendants used his hand to push our brother who then pushed him back. Us ladies had to stand between the men to stop them physically fighting. He obviously wanted to pocket the cash. We dropped our friend and enquired with other airport staff where the main office is for the enforcers. We spoke to two men  at the office who said they were supervisors. They listened to our story and I showed them the video clip. They didn't offer any assistance except to say we should come back tomorrow morning to speak to the general manager. Looks like everyone there is probably taking a portion of the money from this operation they have going on. As a Ghanaian, I feel the corruption here (from the top down) is too widespread, preventing our country from improving.",Negative,Positive
Accra Kotoka,airport,Hans Gross,2013-12-23,This time it took 2 hours instead of the usual half hour for landing and immigration. The huge delay was caused first by a 'parking problem' for the aircraft second by the malfunction of 2 of the 3 luggage conveyor belts. For the return embarkation Emirates with its 300-seater had set the check-in period to from 12.30 am (instead of the usual 3.30 pm) until 5.30 pm which did not prevent a delay again of 1 hour for the take-off at 8 pm. The main annoyances of this airport have persisted over the last 10 years: Passengers may enter soaked with sweat and cannot have a shower (I go to the Landing restaurant and try to wipe myself in the toilet room). The sweating continues in the departure hall which is only half air-conditioned. Announcements can barely be understood as there is a cacophony stemming from the sound of TV's and the voices of passengers. It also remains amusing to count the number of passenger controls and checks: there are 4 by the airline and about 6 by other airport staff.,Negative,Positive
Adana,airport,K Louris,2017-08-18,Domestic airport small and chaotic as delays are often. All announcements in domestic airport are made in Turkish only. No bar in departures area. No bank for exchange in arrivals. Many car rental companies. No sign for special rental car parking area. When returning a rented car you risk entering the normal parking (which is meters before but separate from the rental car parking area) and you will be asked to pay even if you make a U-turn to leave the parking immediately! Car rental companies are aware of the problem but insist they can do nothing about it.,Negative,Positive
Addis Ababa,airport,C London,2024-06-11,"I was pretty frustrated by the experience, mainly due to unhelpful staff. I arrived at 5:00 a.m. and in every waiting area there were staff sleeping. They were all under blankets, and it seems the airport should provide them appropriate rest areas instead of using areas passengers are supposed to use.  After disembarking my first flight, we went through full security with x-rays and no liquids above 100ml. When my flight was announced a few hours later, I then had to go through another security checkpoint just before the flight. No one had warned us of this second repeated security so many people had to throw away the drinks bought the flight at airport prices.  A lot of charging points are broken. Trying to raise issues with staff is met with apathy and disinterest.",Negative,Positive
Addis Ababa,airport,M Collie,2023-11-04,"Transit in the early morning. Lucky to have airbridges for arrival and departure. Distances between gates can be massive. Airport is very busy, but less chaotic than it appears at first sight. The biz security line made the experience less stressful.",Negative,Positive
Addis Ababa,airport,S Makukula,2023-08-19,"Few toilets in the boarding area and not enough seats. The shops were closed in the boarding area so buying a snack was a challenge. However, staff were helpful.",Positive,Negative
Adelaide,airport,Tony Crome,2025-02-10,"Adelaide Airport is an absolute joke, and I've been to every major airport in Australia dozens of times. Security is the worst I've ever seen, over 200 people trying to go through security, line stretching way back. If I could have given zero for queuing times I would've.",Positive,Negative
Adelaide,airport,M Morrison,2022-07-05,"Awful airport. Security took ages to go through and airport staff were mostly unfriendly except for one staff member who was pleasant. I travelled from London to Auckland and unfortunately had to transit via Adelaide. I had bought duty free items from London (foundations, face creams, perfume) - all within my NZ allowance and all packaged as bought with the receipt available. When going through security the staff hassled me and said I was not allowed to take the items through and they all needed to go into one clear plastic bag. I already had my travel toiletries in one clear plastic bag. The response was tough, you must choose what you want to take with or leave behind. I was definitely not leaving behind $250 worth of cosmetics! Everyone who witnessed this was appalled and agreed this was a ridiculous rule since the items were bought from duty free. I had no issue at Doha airport with the items. Fortunately I had fellow travelers (strangers) on the same flight who were able to take the goods through for me. Had this not been the case they would have forced me to leave items behind. I am very upset by this incident. This was extremely distressing after 30 hours of travel. I would not recommend Adelaide for transfer if this is how they treat international travelers.",Positive,Negative
Adelaide,airport,Kelvin Teng,2019-12-22,"I understand that there is some renovation going on but the airport could do with proper signage to the various departure gates. Also, what is the point of doing double security screening before boarding the plane?",Positive,Neutral
Adelaide,airport,N Schuler,2019-10-21,"I have been a frequent flyer for many years with an average flight count of around 85 flights per year for the last 14 years, nationally and international. I used to be happy coming back to Adelaide but the last 2 years arrival at Adelaide to be a horrendous experience. The level of incompetence in getting people through was simply unbelievable. To put you in the picture, this experience I am going to describe happend almost the same on my last 3 international flights, all this year. So, my plane arrived first, a standard A380, followed 25 minutes later by another small international flight. Getting of the plane - quick, getting through passport control - quick and that is where the good part finishes. The luggage took 48 minutes to arrive, on 1 luggage carousel. By the time my bag arrived the queue was returning 3 times around the carousel, you could not even get to the end. Only one office checked the arrival card of every one, talked and saw the growing line building up. She send at least 60% through a line to be checked, and after another 15 minutes in the queue she did that to me too, even though I am APEC member. Another 12 minutes wait before the Officer could attend to me, x-rayed my bag and send me through. I was not allowed to inform my waiting driver (no phones or texting allowed) and he left by the time I came out over an hour later, so I had to join the Taxi queue. I have been to many bad managed airports, Rome, Dhaka, Athens, etc., but Adelaide is the undisputed champion for the worst international arrival service I have experienced. Better arrive from your international leg in Melbourne and take a domestic flight to Adelaide, you will be faster.",Negative,Positive
Agadir,airport,H Chown,2011-10-14,"Arrived in the middle of a hot summer's day with a temperature over 40 degrees. There is no air-conditioning in the airport but that isn't necessary due to the design of the terminal which keeps it airy and cool. The border staff looked like they had been asleep for five hours and were surprised by our arrival. Unfortunately there were lots of people outside fighting for the right to carry our bags 20 metres to the taxi. It's a bit of an annoyance but just say ""NON"" very assertively. All signs in French and Arabic announcements too.",Negative,Positive
Agadir,airport,Nicola Hayter,2009-06-09,Service we have received has been very good for the size of the place. Incoming there is a long wait but would rather be checked in and out correctly. The gate numbers can be confusing if it is the first time you have flown out as they do change regularly.,Negative,Positive
Agadir,airport,Paul Styles,2009-02-16,To get in from the street you must undergo luggage scan first as there's no entry hall. To get out onto the tarmac and into your plane note well that there's no queue space (the departure lounge seats are right by the exit gate doors). Our flight was announced at gate N°6 (there are only 6 gates) but after 5 minutes delay moved to gate 4 then to gate 2 for 150 people with much luggage for a flight with first come first served seats. The hostesses tried to get people to form 2 queue lines in vain so embarkation was a free for all. Shocking treatment for an international airport. Aside from that the setting is very pleasant.,Negative,Positive
Agadir Al Massira,airport,J Davidson,2018-03-28,The security checks at this airport in Agadir is over the top. Luggage checked twice and passport control 4 times. Don't they trust each other? One customs officer has to check the work of the other customs officer? And rows and rows of people trying to find the quickest lanes. Completely inefficient process. It took 2 hours to get through to the gate. I have traveled extensively and even India (in lots of chaotic situations) has a much better organisation. I can understand that security is important but this is absurd and a waste of my time.,Negative,Positive
Ajaccio,airport,O Beyr,2008-10-20,Nice little airport right next to the sea and beaches. There is not much you can expect during waiting time it is only a regional airport. Only point of criticism: access to security control. At the time I was there queues formed randomly without any guidance between around and between counters which led to some confusion and aggression as some people got away without waiting.,Negative,Positive
Akron–Canton,airport,Sandra Dragomir,2024-01-26,"If you have an early flight, do not expect to be able to get coffee. There is a coffee shop, but it is never open. You can get coffee at 6 AM at every other airport. Why not here?",Neutral,Positive
Akron–Canton,airport,2 reviewsJoseph Leonetti,2022-01-01,"Neat little airport. The staff seem friendly and helpful. If I remember, there are like 6 restaurants which is really good for a small regional airport. The restaurants are decently priced. If you pass through CAK, definitely try the ‘Buckhead Grill’. The terminal is fairly clean and a has a very expensive and modern feeling for a regional airport, though the terminal kind of looks like a mall. I think the worst part of the airport is the small parking. During peak hours, parking can get very limited. The staff really knows how to get you from A-B fast. They handle rushes and long lines very well. I recommend this airport instead of flying to places like Cleveland, because it is a little less frantic and dirty.",Positive,Negative
Albuquerque,airport,J Heares,2023-10-16,Only wall outlets and had to try 3 different ones to find one that worked. It's 2023 and everyone needs to charge their devices. First trip to Albuquerque. Attended balloon Fiesta which brings in over 200 million. Think city could put some into upgrading airport. Not happy.,Neutral,Negative
Albuquerque,airport,James Wright,2023-10-15,"Warning to all ADA travelers. I you have a wheelchair there is no transportation services offered at this airport! No shuttles, taxi, or local services but the public bus.",Negative,Neutral
Albuquerque,airport,Amy Dees,2021-01-07,"Avoid American Airlines at this airport. I have had horrid customer service in December 2020 and January 2021. I had a female ticketing agent charge me $170 for 1 overweight bag (54 lbs) because she claimed my husband's military orders were dated in March. Orders aren't posted the month you transfer ma'am. As a 17 year active duty wife, I may know a thing or two. Then said ""just because you are a military dependent doesn't mean you get free luggage"". I never in my life have experienced such horrid disrespect. On top of it I am a COVID crisis relief RN. I was blown away and have since vowed to never fly American again.",Negative,Positive
Albuquerque,airport,Anna Thompson,2019-05-24,"This airport can’t seem to handle the passenger traffic. I was flying American on May 21, my flight was delayed to the point that I wouldn’t make my transfer. I was bumped to the next day and the check-in lines were so incredibly long that I missed my flight the next morning and was forced to fly standby. I have heard similar things from friends flying Southwest Airlines at this airport",Negative,Positive
Albuquerque,airport,A Sanchez,2018-03-01,"Very rude TSA, been through many time and always felt it was very quick and easier to get through other than the airport staff. Not the airline staff, they are great. But TSA are almost always rude, barely smile and speak down to people going through. Not just my family but others around us in the line, and really there is nothing you can say. It is not necessary to always look like you are in a bad mood and don't want to be at work.",Negative,Positive
Algiers,airport,45 reviewsDiogo Freitas,2023-08-18,"Everything is done in a very old fashioned way, two security checks, passport control takes for ages, the terminal is new but they don't have lockers. I saw a cabin crew member litting a cigarette inside the airport. There are three stores where you can buy your Algerian SIM card with internet. Beware it is not possible to change Algerian dinars back to Euros. Don't accept transport from young men at arrivals, to the center or your hotel. You'll regret it.",Negative,Positive
Algiers,airport,Mark Wadham,2010-05-26,The airport building in itself is fairly attractive and spacious. However it is spoilt by 3 things - stench of smoke everywhere. Algeria is 30 years behind when it comes to smoking restrictions. Long waits and bureaucratic procedures. These are the fault of the authorities. Stood in line for 40 minutes to get through immigration. Out of stock duty-free shop. OK if you want to buy Baileys but not much else.,Neutral,Positive
Alice Springs,airport,14 reviewsO Martin,2018-03-08,"A small airport in the dead centre of Australia. The airport is a modern concrete building with plenty of glass. Just past the luggage carousel, there were many desks helping tourists to their next stop or journey. As it was internal flight, we walked straight to the luggage carousel. The luggage duly arrived, but not our hosts. We waited in the hot exteriors for our host and we could see the whole airport being shut down. It is a very quiet airport indeed.",Negative,Positive
Almaty,airport,Herbert Poenisch,2023-04-14,"Business class passengers are whisked away by VIP service only if they pay for this service. Other business passengers have to join other passengers as the Fast Track lanes are blocked. In the baggage hall there were not enough trolleys, for a small gift the officials find you one!",Positive,Negative
Almaty,airport,B Adams,2018-04-07,"My first time transiting in Almaty. Kazakhstan, being an resource rich country, I expected that the airport of their largest city to be at least an international airport. I was most disappointed. 1) The business class lounge - guests must pay $26/pax to have snacks. All drinks are chargeable except for hot water, tea and instant coffee. There is no shower and no service. The ladies who work there really could not be bothered to serve anyone except to remind any guests who walk nearby the snack table that the snacks were chargeable. And guests are not allowed to bring drink/food from outside. Air Astana really needs to build their own lounge instead of using one provided by the airport. Being a Emerald frequent flyer under One World, I know I am spoilt at the First Class Lounges around the world. But this lounge in Almaty borderlines to be offensive. 2) Stairs, stairs and more stairs. This airport cannot be used by those who have disability or travel with baby strollers. There are stairs everywhere - first down from the air-bridge to transfer security, then up the stairs again to the gates. There is actually an elevator - but their are locked and guests are not allowed to use it. 3) Limited choices of food - there is only snacks and coffees. Do not plan to have a dinner in this airport while waiting for your flight. 4) Service - Lack of it. The Air Astana team is helpful. But other than them, service is so poor from the security team, to immigration as well as the waiting staff at those food stalls. Overall - avoid this airport if you have a choice.",Negative,Positive
Almaty,airport,1 reviewsT Petrov,2017-12-14,"The airport itself is very small. I experienced huge crowds at the entrance of the terminal for the first security check line. The same at the passport control. Waiting area for departure is too small. On the way to the aircraft you have to deal with no escalators and elevators are too small. Terminal announcements on the departing and arriving flights were made permanently, even if I was traveling internationally I was forced to hear information on domestic flights.",Negative,Positive
Almaty,airport,4 reviewsHerbert Poenisch,2016-07-31,"Agree with other reports that this airport lacks most of the conveniences which a frequent traveller expects. What is worse is that the Airport authorities don't take any of these comments seriously. Even frequent travelers qualifying for a lounge are disappointed, as the lounge lacks free drinks, free food and internet access. The staff just does not care. Avoid this airport if you can.",Positive,Negative
Almeria,airport,Bill Riley,2017-07-25,The airport is clean and modern. We had to walk a couple of hundred metres from the 'plane to the terminal - ok on a dry day. The delay at passport was unacceptable. Two grumpy officers dealing slowly with a couple of hundred arrivals. Not good enough.,Negative,Positive
Almeria,airport,S William,2007-03-25,Almeria was unfortunately not built to handle the amount of traffic using it. There is only one runway which means deays in departure if there are several arrivals. The terminal facilities are sufficient in the low season but when the charters are at full peak it is woefully inadequate. The limited number of check-in desks means that when several flights are being loaded often only one or perhaps two desks are available for each. There is a real bottleneck at the one and only security entrance. Information is poor even when it is obvious that flights are late the original time is left showing on the monitors. The departure lounge is small and with only one cafe which offers a very limited selection of food and drink. There is however a large open roof seating area with lift and stair access with excellent views of the apron and runway with a cafe which opens when the airport is busy. The only bus link is crowded with non-airport passengers as already described by an earlier contributor and doesn't end at the combined bus/rail station but some 400 metres away in town. A taxi to the centre is only 8 - 10 Euros.,Negative,Positive
Almeria,airport,Mohd Kastor,2006-05-31,A small airport with limited but more than enough facilities. The immigration control area is very small with only one counter; resulted in a long queue extending to the outside of the arrival's entrance door. In the departure hall try to get anything you want (food newspaper souvenir etc.) before passing through security. Once airside there are only one small duty free shop and one very small cafe; boring poorly stocked and expensive!,Positive,Negative
Amman Queen Alia,airport,1 reviewsG Carter,2023-03-16,"We passed through this airport in transit twice, coming and going on a round trip. The airport appears modern, signage is okay. Bathrooms mixed on cleanliness. The worst part is passing though security. The first time through went reasonable well. It wasn't too crowded. But security was inconsistent. My wife had to give up her water bottle, mine made it though (full of water). All laptops had to be swabbed. Why? The second time through was chaos. There were too few staff and scanners. Passengers were cutting in line, there was no crow control or line barriers. It took about 30 minutes to get through. Security staff were, however, very helpful. We had lost an item (a book) on the first pass through, and three weeks later security had the item in the Lost and Found. We had to fill out considerable paperwork, show ID etc. to reclaim the paperback novel. But we did get it back. I would avoid this airport.",Negative,Positive
Amman Queen Alia,airport,C Larson,2022-09-16,The airport looks very futuristic and modern from the outside but the inside is total chaos. It really isn't big enough for the number of passengers wanting to check in. This is made worse by all the Royal Jordanian flights being in one giant queue waiting for a check in desk. Why isn't is possible to check in using the RJ App? Why don't they dedicated queues for each flight? The result was total chaos with a member of staff running up and down calling out the flight destinations to get the passengers out of the queue because the flight was starting to board. Once you get past the check-in and security there is massive of space for shops and restaurants. It seems the airport is more interested in making money than having enough space and desk so passengers can check in easily,Negative,Positive
Amritsar,airport,A Anderson,2017-04-28,This is a small and quiet airport. The aerobridges are still not in use which is cumbersome for families travelling with children and disabled people. The buses used to transfer to the terminal are jerky so again elderly and small children need to be careful. The luggage arrived with in 40 minutes except baby pram which was delayed by 2 hours as they treat it as a luggage. It was really stressful for us as we were waiting for a good 2 hours for our pram after a 14 hour flight and on the top of it they asked for money / bribe as they had to carry it from airside as it can damage the luggage belt. The immigration is bit slow at this airport and make sure that they have stamped the correct arrival year on your passport as some passengers passports were stamped for 2016. They may harass you for their own deliberate mistakes at the time of departure because stays exceeding 180 days as per Indian Immigration rules have to get the exit stamp from local police station or FRO. The departure waiting area is small but again matches the capacity of airport as long as there are no delays.,Negative,Positive
Amritsar,airport,Sunny Singh,2016-03-28,I fly every year to Amritsar from London but to my disappointment the aerobridge gate has not been used for 3-4 years. They use old noisy buses which are not low floor as per international standards to transport passengers to the aircraft. They don't have any nappy changing area for children - many areas could improve.,Negative,Positive
Amritsar,airport,S Kumar,2015-08-15,"Not so friendly for disabled or physically challenged person, Luggage trolley are in pathetic condition, still using old type display for flight information and airline counter information. Inside it is clean. Personal experience - I need to change diaper of my kid but they don't have facility, finally I changed on floor of bathroom. They need a lounge or improved waiting area/rest area.",Positive,Negative
Amsterdam Schiphol,airport,Kouros Garno,2025-01-04,"In my experience Schiphol is hands-down one of the worst airports; consistently, year after year. I suggest to those who manage the airport to pay a visit to Singapore, Doha, Abu Dhabi, Athens, Madrid in order to educate themselves about how great airports are being run. In Schiphol it has become normal for passengers to have to wait for over an hour to collect their luggage, luggage is often damaged by the handlers in that airport, security screening is horrendous, the toilets are dirty, the staff are obnoxious and rude. Long time ago it used to be a nice experience to travel through Schiphol, for quite some time not any more.",Negative,Positive
Amsterdam Schiphol,airport,A Chua,2024-09-16,"This airport is incapable of managing a large group of passengers. I needed to queue just to take the stairs to the xray section, followed by another queue to get xray check. By the time it finished, the plane had took off. I arrived ca. 2h before departure, yet I still missed the flights and paid for extra cost to book the next day flights and hotel. So, avoid if you can, otherwise arrive at least 3h early.",Negative,Positive
Amsterdam Schiphol,airport,A Lunarsi,2024-09-06,Amsterdam Schiphol has the rudest security personnel. Choose another profession please and do not ruin the passenger's day with your unhappiness and impoliteness.,Negative,Neutral
Anchorage,airport,Andrew Jervis,2018-10-29,I fly approximately 20-30 times a year and your self service carts almost never work. I usually fly the 6:00am flight where valet service is unavailable. It really isn’t that difficult to properly maintain a machine.,Negative,Positive
Anchorage,airport,Christopher Dore,2013-08-13,Be aware the International terminal has only one shop that sells duty free goods. The only alcohol sold is a restricted choice of whiskeys and they only sell a restricted selection of cigarettes.,Negative,Positive
Ankara,airport,Badon Ghijben,2023-11-03,"What a poor airport. There is no route from domestic arrivals to international. The international departures is the most chaotic of airports with too few passport controls. A first quality should be mastery of an international English, no one speaks English.",Negative,Positive
Antalya,airport,R Kaeler,2024-11-17,"While Antalya airport looks nice for arriving folks, it is awful for departing passengers (Terminal 2). All areas are full of people, not enough seats, so that people will sit at random gates where seats are available. The few restaurants are very expensive. Small water bottle 3 Euros, smallest coffee 7 Euros. Air conditioning not working properly, very hot on the 2nd floor, and I am talking about mid November, not July! Poor standards all over the place.",Positive,Negative
Antalya,airport,Samy Meindorf,2024-11-16,"Unqualified and very rude security staff. Disinterested and indifferent employees in the shops. Food disproportionately expensive for the poor quality. After more than a month (we were there in October 2024), I am still speechless about what I experienced at Antalya Airport. It seems that the airport staff despise tourists, and they are not aware about the importance of tourism as a major source of income for the country which provides many jobs. One thing is clear to me: I will not be flying to Antalya again.",Negative,Positive
Antalya,airport,N Carlan,2024-09-05,"Antalya airport is the most expensive airport I have ever been to. The prices are extortionate, for anything from the duty free to the various cafes and fast food restaurants, for the price you expect the food to be at least hot, the food was cold and stale. I just do not understand how they can charge so much for bad quality food. I understand airports are expensive but this was a different level of expensive. The rest of the airport is alright, easy to find where you’re going and helpful staff. You did have to go through double security once at the door and after you check in your luggage, so be mindful to not buy any drinks from downstairs. Also there is no airport WiFi you have to pay. Overall I will not be returning to Antalya because even outside of the airport prices are extortionate and vendors do not know how to trade in their own currency of lira. Everything is in Euros.",Positive,Negative
Antalya,airport,David Stewart,2024-08-25,"Arrival simple. Through immigration quickly as in most Turkish airports. Departures is a totally different story. It's not organised chaos just chaos. Totally third world. Check in a nightmare. Despite checking in online have to queue for paper boarding card. Next are the passport control lines. To be fair this is probably the quickest bit of the constant queues. Security next which is crazy. They're either talking to each other or screaming at some passenger. Duty free. This is like a endurance test. Incompetent isn't a strong enough description. After 25 minutes waiting due to some poor girl with obviously no experience I managed to get a supervisor who's first excuse was ""system problems"" which was a fairytale as she put the goods through right away. Lounge. An utter disaster of a place. Overbooked and they couldn't care less. Some Russian guy (employee!!) acting like a doorman in a sleazy nightclub outrageously deciding who could and couldn't get in. By this point I lost the plot and the only thing I was told by the lounge ""supervisor"" was that sometimes Russian people sound cheeky!!! I wasn't in Russia was in Turkey and expect even basic manners. After getting in there were numerous staff members from Fraport Technik and others enjoying coffees cigarettes and chatting but for passengers it's full????? Finally the extra security check at the gate is laughable. They do check some passengers but once boarding commences they just leave even although still about a third of the flight not even entered the gate area. All in all it's a horrendous place. Fraport should hang their heads in shame but they will never do anything about until the travelling public vote with their feet and go elsewhere unless there is a compelling need to be in AYT.",Negative,Positive
Antananarivo,airport,O Stein,2018-08-19,"Their new terminal looks far from finished, and the existing buildings are probably what you'd expect in one of the worlds poorest countries. At immigration people from back in the queue kept being prioritised through, and we were asked for a tip from an official loading our luggage through the scanner. Random officials asked for our documents for no apparent reason and we fought off some very aggressive people wanting to assist with our luggage. Checking in was fairly chaotic, not helped by the lack of space. The ATMs worked and many people looked to be working hard to make this place function, but overall Ivato airport gives a dreadful first impression to anyone coming to Madagascar.",Negative,Positive
